"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003278395","00500100","農林水産物輸出入概況 ２　農林水産物の輸出実績（２０１５年金額上位２０品目）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003278444","00500100","農林水産物輸出入概況 ８　農林水産物の輸入実績（２０１５年金額上位２０品目）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003278447","00500100","農林水産物輸出入概況 １４　農林水産物輸出入概況（２０１５年品目別統計表） (1) 輸出　累計金額上位３か国","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003278461","00500100","農林水産物輸出入概況 １４　農林水産物輸出入概況（２０１５年品目別統計表） (2) 輸入　累計金額上位３か国","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279842","00500100","農林水産物輸出入概況 ４　農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279860","00500100","農林水産物輸出入概況 ５　農産物の国・地域別輸出実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279861","00500100","農林水産物輸出入概況 ６　林産物の国・地域別輸出実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279862","00500100","農林水産物輸出入概況 ７　水産物の国・地域別輸出実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279863","00500100","農林水産物輸出入概況 １０　農林水産物の国・地域別輸入実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279864","00500100","農林水産物輸出入概況 １１　農産物の国・地域別輸入実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279865","00500100","農林水産物輸出入概況 １２　林産物の国・地域別輸入実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279866","00500100","農林水産物輸出入概況 １３　水産物の国・地域別輸入実績（２０１５年金額上位２０か国）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003279902","00500100","農林水産物輸出入概況 参考：農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国：アルコール飲料、たばこ、真珠を除く）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280050","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ホタテ貝","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280051","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　アルコール飲料","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280052","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　真珠","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280053","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ソース混合調味料","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280054","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　たばこ","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280055","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　清涼飲料水","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280056","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　さば","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280057","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　菓子（米菓を除く）","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280058","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　播種用の種等","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280059","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　ぶり","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280080","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　かつお・まぐろ類","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280081","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　りんご","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280082","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　牛肉","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280083","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　乾燥なまこ","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280084","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　緑茶","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280085","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　丸太","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280086","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　豚の皮","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280087","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　配合調製飼料","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280088","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　練り製品(魚肉ｿｰｾｰｼﾞ等)","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280089","00500100","農林水産物輸出入概況 ３　農林水産物（２０１５年輸出金額上位２０品目）の国・地域別輸出概況及び平均輸出価格　小麦粉","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280090","00500100","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　豚肉","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280091","00500100","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　たばこ","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280092","00500100","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　とうもろこし","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280093","00500100","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　牛肉","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
"0003280094","00500100","農林水産物輸出入概況 ９　農林水産物（２０１５年輸入金額上位２０品目）の国・地域別輸入概況及び平均輸入価格　生鮮・乾燥果実","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","年次",,"2019-02-07"
