"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003371251","00550051","長期時系列表 対個人サービス業(調査9業種)の指数推移　ウェイト(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","月次",0,"2022-04-04"
"0003371320","00550051","長期時系列表 特定サービス産業動態統計調査総合、対事業所サービス業(調査10業種)の指数推移　ウェイト(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","月次",0,"2022-04-04"
"0003449538","00550051","長期時系列表 特定サービス産業動態統計調査総合、対事業所サービス業(調査10業種)の指数推移　月次(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","月次",0,"2023-01-26"
"0003449539","00550051","長期時系列表 特定サービス産業動態統計調査総合、対事業所サービス業(調査10業種)の指数推移　四半期(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","四半期",0,"2023-01-26"
"0003449540","00550051","長期時系列表 特定サービス産業動態統計調査総合、対事業所サービス業(調査10業種)の指数推移　年次(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","年次",0,"2023-01-26"
"0003449541","00550051","長期時系列表 対個人サービス業(調査9業種)の指数推移　月次(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","月次",0,"2023-01-26"
"0003449542","00550051","長期時系列表 対個人サービス業(調査9業種)の指数推移　四半期(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","四半期",0,"2023-01-26"
"0003449543","00550051","長期時系列表 対個人サービス業(調査9業種)の指数推移　年次(2010年基準)","特定サービス産業動態売上高指数＊2020年12月分をもって作成を終了しました","年次",0,"2023-01-26"
