"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003181402","00600370","総括表（１・２）　燃料消費量・走行キロの推移 年度次","自動車燃料消費量調査","年度次",,"2024-06-28"
"0003181421","00600370","第１表　燃料別・車種別　総括表","自動車燃料消費量調査","年度次",,"2024-06-28"
"0003181422","00600370","第２・３表　燃料別・地方運輸局別・１１車種別　燃料消費量・走行キロ","自動車燃料消費量調査","年度次",,"2024-06-28"
"0003181440","00600370","第４・５表　燃料別・地方運輸局別・２６車種別　燃料消費量・走行キロ","自動車燃料消費量調査","年度次",,"2024-06-28"
"0003181441","00600370","第６・７表　燃料別・都道府県別・１０車種別　燃料消費量・走行キロ","自動車燃料消費量調査","年度次",,"2024-06-28"
"0003181442","00600370","第８・９表　燃料別・都道府県別・２５車種別　燃料消費量・走行キロ","自動車燃料消費量調査","年度次",,"2024-06-28"
"0003181460","00600370","第１表　燃料別・車種別　総括表","自動車燃料消費量調査","月次",,"2025-05-29"
"0003181461","00600370","第２・３表　燃料別・地方運輸局別・１１車種別　燃料消費量・走行キロ","自動車燃料消費量調査","月次",,"2025-05-29"
"0003181462","00600370","第４・５表　燃料別・地方運輸局別・２６車種別　燃料消費量・走行キロ","自動車燃料消費量調査","月次",,"2025-05-29"
"0003244900","00600370","第１０表　業態別・目的別　原単位及び稼働率","自動車燃料消費量調査","年度次",,"2024-06-28"
