"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0001879782","00500225","牛乳乳製品統計調査 生乳生産量累年統計（昭和60年～平成30年） 生乳生産量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879783","00500225","牛乳乳製品統計調査 生乳移出入量累年統計（平成８年～平成30年） 移出量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879784","00500225","牛乳乳製品統計調査 生乳移出入量累年統計（平成８年～平成30年） 移入量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879785","00500225","牛乳乳製品統計調査 生乳処理量（用途別）累年統計（昭和60年～平成30年） 牛乳等向け処理量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879786","00500225","牛乳乳製品統計調査 生乳処理量（用途別）累年統計（昭和60年～平成30年） 乳製品向け処理量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879787","00500225","牛乳乳製品統計調査 生乳処理量（用途別）累年統計（昭和60年～平成30年） その他",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879788","00500225","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） 牛乳生産量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879789","00500225","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） 加工乳・成分調整牛乳生産量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879790","00500225","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） 乳飲料生産量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879791","00500225","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） はっ酵乳生産量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879792","00500225","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） 乳酸菌飲料生産量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879793","00500225","牛乳乳製品統計調査 飲用牛乳等入出荷量累年統計（平成８年～平成30年） 出荷量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879794","00500225","牛乳乳製品統計調査 飲用牛乳等入出荷量累年統計（平成８年～平成30年） 入荷量",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879795","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 全国",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879796","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 北海道",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879797","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 青森",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879798","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 岩手",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879799","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 宮城",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879800","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 秋田",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879821","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 山形",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879822","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 福島",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879823","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 茨城",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879824","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 栃木",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879825","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 群馬",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879826","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 埼玉",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
"0001879827","00500225","牛乳乳製品統計調査 生乳及び牛乳等生産量累年統計（昭和60年～平成30年） 千葉",NA,"牛乳乳製品統計調査","長期累年",NA,"-","201801-201812","2021-12-24"
