"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004010940","00650408","1","基本項目（世帯、住宅、機器使用状況等）別-世帯人数、住宅の建て方等","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010941","00650408","2-1","基本項目（世帯、住宅、機器使用状況等）別-機器の使用数量（テレビ、冷蔵庫、エアコン、洗濯機、衣類乾燥機、浴室乾燥機、食器洗い乾燥機、食器乾燥機、電子レンジ、ガスオーブン）","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010942","00650408","2-2","基本項目（世帯、住宅、機器使用状況等）別-機器の使用数量（炊飯器、電気ポット、ウォーターサーバー、温水洗浄便座、暖房便座、加湿器、除湿機、空気清浄機、パソコン、ビデオレコーダー、インターネットモデム・ルーター）・ペットのための設備","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010943","00650408","2-3","基本項目（世帯、住宅、機器使用状況等）別-機器の製造時期（テレビ、冷蔵庫、エアコン）","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010944","00650408","2-4","基本項目（世帯、住宅、機器使用状況等）別-機器の種類・大きさ（テレビ、冷蔵庫、エアコン）","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010945","00650408","2-5","基本項目（世帯、住宅、機器使用状況等）別-機器の種類（給湯器・給湯システム、コンロ)","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010946","00650408","2-6","基本項目（世帯、住宅、機器使用状況等）別-太陽光発電の使用有無、総容量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010947","00650408","3-1","基本項目（世帯、住宅、機器使用状況等）別-暖房使用状況（暖房の仕方、個別暖房機器の使用台数、太陽熱利用暖房システムの使用状況、セントラル暖房システムの使用状況、床暖房の使用状況）","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010948","00650408","3-2","基本項目（世帯、住宅、機器使用状況等）別-暖房使用状況（最もよく使う暖房機器、最もよく使う暖房機器の温度設定状況、最もよく使う暖房機器の寒い時期の平日の使用時間、ペットのための暖房使用の有無、暖房室数）","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010949","00650408","3-3","基本項目（世帯、住宅、機器使用状況等）別-冷房使用状況","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010950","00650408","3-4","基本項目（世帯、住宅、機器使用状況等）別-入浴状況、冬のお湯の使用状況","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010951","00650408","3-5","基本項目（世帯、住宅、機器使用状況等）別-調理食数","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010952","00650408","3-6","基本項目（世帯、住宅、機器使用状況等）別-照明の使用状況","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010953","00650408","3-7","基本項目（世帯、住宅、機器使用状況等）別-機器の使用状況（平日のテレビの使用時間、衣類乾燥機の使用頻度）","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010954","00650408","3-8","基本項目（世帯、住宅、機器使用状況等）別-省エネルギー行動実施状況","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010955","00650408","4-1","基本項目（世帯、住宅、機器使用状況等）別-自動車の保有状況","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010956","00650408","4-2","基本項目（世帯、住宅、機器使用状況等）別-自動車の種類、排気量、燃費、使用状況","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010957","00650408","5","基本項目（世帯、住宅、機器使用状況等）別-エネルギー種別使用用途、家庭で使用しているエネルギー種","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010958","00650408","6-1-1","基本項目（世帯、住宅、機器使用状況等）別-月別エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010959","00650408","6-1-2","機器・照明の使用台数、使用状況、製造時期、種類、大きさ別-月別エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010960","00650408","6-1-3","暖房使用状況別-月別エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010961","00650408","6-1-4","入浴状況、お湯の使い方別-月別エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010962","00650408","6-1-5","調理食数別-月別エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010963","00650408","6-1-6","省エネルギー行動実施状況別-月別エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010964","00650408","6-1-7","自動車の使用状況別-月別エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010965","00650408","6-2-1","基本項目（世帯、住宅、機器使用状況等）別-年間エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010966","00650408","6-2-2","機器・照明の使用台数、使用状況、製造時期、種類、大きさ別-年間エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010967","00650408","6-2-3","暖房使用状況別-年間エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010968","00650408","6-2-4","入浴状況、お湯の使い方別-年間エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010969","00650408","6-2-5","調理食数別-年間エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010970","00650408","6-2-6","省エネルギー行動実施状況別-年間エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010971","00650408","6-2-7","自動車の使用状況別-年間エネルギー種別エネルギー消費量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010972","00650408","6-3-1","基本項目（世帯、住宅、機器使用状況等）別-月別エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010973","00650408","6-3-2","機器・照明の使用台数、使用状況、製造時期、種類、大きさ別-月別エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010974","00650408","6-3-3","暖房使用状況別-月別エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010975","00650408","6-3-4","入浴状況、お湯の使い方別-月別エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010976","00650408","6-3-5","調理食数別-月別エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010977","00650408","6-3-6","省エネルギー行動実施状況別-月別エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010978","00650408","6-3-7","自動車の使用状況別-月別エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010979","00650408","6-4-1","基本項目（世帯、住宅、機器使用状況等）別-年間エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010980","00650408","6-4-2","機器・照明の使用台数、使用状況、製造時期、種類、大きさ別-年間エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010981","00650408","6-4-3","暖房使用状況別-年間エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010982","00650408","6-4-4","入浴状況、お湯の使い方別-年間エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010983","00650408","6-4-5","調理食数別-年間エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010984","00650408","6-4-6","省エネルギー行動実施状況別-年間エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010985","00650408","6-4-7","自動車の使用状況別-年間エネルギー種別二酸化炭素排出量","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010986","00650408","6-5-1","基本項目（世帯、住宅、機器使用状況等）別-年間エネルギー種別支払金額","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010987","00650408","6-5-2","機器・照明の使用台数、使用状況、製造時期、種類、大きさ別-年間エネルギー種別支払金額","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010988","00650408","6-5-3","暖房使用状況別-年間エネルギー種別支払金額","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010989","00650408","6-5-4","入浴状況、お湯の使い方別-年間エネルギー種別支払金額","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010990","00650408","6-5-5","調理食数別-年間エネルギー種別支払金額","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010991","00650408","6-5-6","省エネルギー行動実施状況別-年間エネルギー種別支払金額","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
"0004010992","00650408","6-5-7","自動車の使用状況別-年間エネルギー種別支払金額","平成29年度　家庭部門のCO2排出実態統計調査","全国","年度次","201704-201803","2024-03-26"
