"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003368873","00400101","1","- 学校数・学級数･児童生徒数(学校種別)","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003368874","00400101","2","- 必要・保有・整備資格・危険・要改築面積(学校種別・建物区分別)","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003375734","00400101","3","- 構造別保有面積(学校種別・建物区分別)","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003368876","00400101","4-1","- 学校別建物の実態　小中学校","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003368877","00400101","4-2","- 学校別建物の実態　高等学校(課程別)","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003375735","00400101","4-3","- 学校別建物の実態　特別支援学校","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003368879","00400101","4-4","- 学校別建物の実態　幼稚園","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003368880","00400101","5","- 小中学校校舎等の１校・１学級・１人当たり保有面積等","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003375736","00400101","6","- 屋内運動場の保有状況（学校種別）","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003368882","00400101","7","- 地域別の小中学校建物の実態","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
"0003375737","00400101","8","- 校地面積(学校種別・用途別)","公立学校施設実態調査","平成３０年度","年度次","201804-201903","2019-11-20"
