"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003326163","00350610","3-2-2","計数項目 翌年度設備投資：業種別(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003200111","00350610","3-3","計数項目 設備投資：四半期・総括表(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003326045","00350610","3-3","計数項目 設備投資：四半期・総括表(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003200170","00350610","3-4","計数項目 設備投資：四半期・業種別(金額・前年同期比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003200181","00350610","4-1","BSI項目 経常利益判断ＢＳＩ：総括表(構成比・BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003326003","00350610","4-1","BSI項目 従業員数判断ＢＳＩ：総括表(構成比・BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003200201","00350610","4-2","BSI項目 経常利益判断ＢＳＩ：業種別(BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003326004","00350610","4-2","BSI項目 従業員数判断ＢＳＩ：業種別(BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003325985","00350610","5","BSI項目 今年度における設備投資のスタンス(構成比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003326280","00350610","5","BSI項目 今年度における設備投資の対象(構成比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003326282","00350610","5","BSI項目 今年度における設備投資計画（方針）と実績見込みとのかい離の理由(構成比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003200113","00350610","5-1","BSI項目 国内・海外需要判断ＢＳＩ：総括表(構成比・BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003200221","00350610","5-2","BSI項目 国内・海外需要判断ＢＳＩ：業種別(BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003325986","00350610","6","BSI項目 今年度における資金調達方法(構成比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003326100","00350610","6","BSI項目 今年度における利益配分のスタンス(構成比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003326281","00350610","6","BSI項目 今年度における経常利益の要因(構成比)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","202504-202506","2025-06-12"
"0003200182","00350610","7-1","BSI項目 販売・仕入価格判断ＢＳＩ：総括表(構成比・BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003200202","00350610","7-2","BSI項目 販売・仕入価格判断ＢＳＩ：業種別(BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003200114","00350610","9-1","BSI項目 製（商）品・原材料在庫判断ＢＳＩ：総括表(構成比・BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
"0003200222","00350610","9-2","BSI項目 製（商）品・原材料在庫判断ＢＳＩ：業種別(BSI)","法人企業景気予測調査","結果の概要及び統計資料編","四半期","201901-201903","2023-09-13"
