"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003220118","00650405","表1-1　食品廃棄物の収集方法","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220120","00650405","表1-2　食品廃棄物の収集方法（地方別）","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220122","00650405","表2-1　家庭から排出された食品廃棄物の量の把握/推計の有無","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220123","00650405","表2-2　家庭から排出された食品廃棄物の量の把握/推計の有無（地方別）","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220124","00650405","表2-3　家庭から排出された食品廃棄物の量","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220125","00650405","表4　組成調査の実施方法","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220127","00650405","表3　食品廃棄物排出量の計算方法","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220129","00650405","表5　調査対象の収集区分","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220132","00650405","表6　組成調査の調査方法","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220139","00650405","表7　家庭から排出された食品ロス量の調査の実施の有無","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220141","00650405","表8　家庭から排出された食品ロス量の調査方法","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220143","00650405","表9　家庭から排出された食品ロス量の調査の対象","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220144","00650405","表10　家庭から排出された食品ロス量の推計の実施の有無","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220146","00650405","表11-1　家庭から排出される食品ロスの量","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
"0003220148","00650405","表11-2　家庭から排出された食品ロス量の計算方法","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","-",,"2018-08-03"
