"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0000040001","00200551","00301","産業大分類（１４），経営組織（１４），事業所数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040002","00200551","00302","産業中分類（８７），経営組織（１４），事業所数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040003","00200551","00303","産業小分類（４５０），経営組織（１４），事業所数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040004","00200551","00304","産業大分類（１４），経営組織（１４），従業者数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040005","00200551","00305","産業中分類（８７），経営組織（１４），従業者数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040006","00200551","00306","産業小分類（４５０），経営組織（１４），従業者数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040007","00200551","00307","産業大分類（１４），従業上の地位（７），従業者数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040008","00200551","00308","産業中分類（８７），従業上の地位（７），従業者数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040009","00200551","00309","産業小分類（４５０），従業上の地位（７），従業者数，全国計","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2007-11-27"
"0000040010","00200551","00401","産業大分類（１４），経営組織（１７），事業所数，都道府県・１１大都市","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2008-03-27"
"0000040011","00200551","00402","産業中分類（８７），経営組織（１７），事業所数，都道府県・１１大都市","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2008-03-27"
"0000040012","00200551","00403","産業大分類（１４），経営組織（１７），従業者数，都道府県・１１大都市","昭和56年事業所統計調査","全国編",NA,NA,"-",198107,"2008-03-27"
