"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003114490","00600120","1","用途別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計",NA,"年次",0,"2026-01-20"
"0003117525","00600120","1","用途別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計",NA,"年度次",0,"2026-01-20"
"0004000400","00600120","1","用途別、建築主別／建築物の数、床面積、工事費予定額","建築物着工統計",NA,"月次",0,"2026-01-20"
"0003117508","00600120","2","建築主別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計",NA,"年度次",0,"2026-01-20"
"0003139220","00600120","2","建築主別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計",NA,"年次",0,"2026-01-20"
"0003461558","00600120","2","建築主別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計",NA,"月次",0,"2026-01-20"
"0003114511","00600120","20","構造別、工事期間別、規模別／建築物の数、床面積","建築物着工統計",NA,"年次",0,"2026-01-20"
"0003117528","00600120","20","構造別、工事期間別、規模別／建築物の数、床面積","建築物着工統計",NA,"年度次",0,"2026-01-20"
"0003114342","00600120","21","用途別、工事種類別／工事件数、建築物の数、床面積、工事費予定額","建築物着工統計",NA,"月次",0,"2026-01-20"
"0003114493","00600120","21","用途別、工事種類別／工事件数、建築物の数、床面積、工事費予定額","建築物着工統計",NA,"年次",0,"2026-01-20"
"0003117503","00600120","21","用途別、工事種類別／工事件数、建築物の数、床面積、工事費予定額","建築物着工統計",NA,"年度次",0,"2026-01-20"
"0003114532","00600120","22","用途別(大分類)、敷地面積規模別(新築工事)／工事件数、建築物の数、敷地面積","建築物着工統計",NA,"年次",0,"2026-01-20"
"0003117511","00600120","22","用途別(大分類)、敷地面積規模別(新築工事)／工事件数、建築物の数、敷地面積","建築物着工統計",NA,"年度次",0,"2026-01-20"
"0003114550","00600120","23","用途別(大分類)、構造別、敷地利用率別(新築工事)／工事件数、床面積、敷地面積","建築物着工統計",NA,"年次",0,"2026-01-20"
