"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0001883913","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 全国(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883914","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 北海道(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883915","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 都府県(昭和51年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883916","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 東北(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883917","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 北陸(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883918","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 関東・東山(昭和51年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883919","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 東海(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883920","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 近畿(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883921","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 中国(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883922","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 四国(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
"0001883923","00500222","1","畜産統計 乳用牛飼養戸数･頭数累年統計 九州(昭和35年～令和２年)","畜産統計調査","長期累年",NA,"-","202001-202012","2024-01-11"
