"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003286245","00553010","統計表 １．会社全体の従業者数　産業中分類別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003286800","00553010","統計表 １．会社全体の従業者数　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003286822","00553010","統計表 １．会社全体の従業者数　産業別・売上高階級別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003286824","00553010","統計表 ４．資産及び負債・純資産（法人企業）　産業中分類別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003286840","00553010","統計表 １．会社全体の従業者数　産業別・設立年別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003286842","00553010","統計表 ４．資産及び負債・純資産（法人企業）　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003286862","00553010","統計表 ５．設備投資　産業中分類別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003286867","00553010","統計表 ６．リースの利用　産業中分類別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003287140","00553010","統計表 １１．受託の状況（建設業を除く）　産業中分類別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003287141","00553010","統計表 １２．委託の状況　産業中分類別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003287200","00553010","統計表 ８．売上高の内訳　産業中分類別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003287400","00553010","統計表 ４．資産及び負債・純資産（法人企業）　産業別・資本金階級別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003297901","00553010","統計表 １．会社全体の従業者数　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003297910","00553010","統計表 ４．資産及び負債・純資産（法人企業）　産業別・設立年別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003297911","00553010","統計表 ４．資産及び負債・純資産（法人企業）　産業別・売上高階級別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003297968","00553010","統計表 ９．商品（製品）の仕入先・販売先　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003297969","00553010","統計表 ９．商品（製品）の仕入先・販売先　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003297970","00553010","統計表 ９．商品（製品）の仕入先・販売先　産業別・売上高階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003299643","00553010","統計表 ９．商品（製品）の仕入先・販売先　産業中分類別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003299801","00553010","統計表 １３．中小企業投資促進税制等の状況（法人企業）　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317768","00553010","統計表 ３．売上高及び営業費用　産業中分類別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317769","00553010","統計表 ３．売上高及び営業費用　産業中分類別表（個人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317770","00553010","統計表 ３．売上高及び営業費用　産業別・売上高階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317771","00553010","統計表 ３．売上高及び営業費用　産業別・売上高階級別表（個人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317772","00553010","統計表 ３．売上高及び営業費用　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317773","00553010","統計表 ３．売上高及び営業費用　産業別・設立年別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317774","00553010","統計表 ３．売上高及び営業費用　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317775","00553010","統計表 ５．設備投資　産業別・売上高階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317776","00553010","統計表 ５．設備投資　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317777","00553010","統計表 ５．設備投資　産業別・設立年別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317778","00553010","統計表 ５．設備投資　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317779","00553010","統計表 ６．リースの利用　産業別・売上高階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317780","00553010","統計表 ６．リースの利用　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317781","00553010","統計表 ６．リースの利用　産業別・設立年別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317782","00553010","統計表 ６．リースの利用　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317783","00553010","統計表 ７．研究開発の状況　産業中分類別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317784","00553010","統計表 ７．研究開発の状況　産業別・売上高階級別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317785","00553010","統計表 ７．研究開発の状況　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317786","00553010","統計表 ７．研究開発の状況　産業別・設立年別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317787","00553010","統計表 ７．研究開発の状況　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317788","00553010","統計表 ８．売上高の内訳　産業別・売上高階級別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317789","00553010","統計表 ８．売上高の内訳　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317790","00553010","統計表 ８．売上高の内訳　産業別・設立年別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317791","00553010","統計表 ８．売上高の内訳　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317796","00553010","統計表 １１．受託の状況（建設業を除く）　産業別・売上高階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317797","00553010","統計表 １１．受託の状況（建設業を除く）　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317798","00553010","統計表 １１．受託の状況（建設業を除く）　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317799","00553010","統計表 １２．委託の状況　産業別・売上高階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317800","00553010","統計表 １２．委託の状況　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317801","00553010","統計表 １２．委託の状況　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003317803","00553010","統計表 １４．中小企業の会計の状況（法人企業）　産業別・従業者規模別表","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003320721","00553010","統計表 母集団企業　産業別・資本金階級別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003320722","00553010","統計表 母集団企業　産業別・設立年別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003320723","00553010","統計表 母集団企業　産業別・従業者規模別表（法人企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
"0003320724","00553010","統計表 母集団企業　産業別・従業者規模別表（全企業）","中小企業実態基本調査","確報","年次","201701-201712","2019-03-26"
