"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004029342","00450100","労働災害率の推移（事業所規模100人以上、総合工事業）",NA,"労働災害動向調査","時系列表","年次",0,"2025-11-25"
"0003385932","00450100","産業（大・中分類）別 産業（大・中分類）、事業所規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数（事業所規模30人以上）","1","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385950","00450100","事業所平均月間実労働時間階級別 産業（計・製造業・その他）、事業所規模別、事業所平均月間実労働時間階級、度数率階級別事業所数の割合（事業所規模30人以上）","10","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385951","00450100","産業（製造業特定産業）別 産業（製造業特定産業）、度数率階級別事業所数の割合（事業所規模10～29人）","11","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385942","00450100","産業（大・中分類）別 産業（大・中分類）、企業規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数（事業所規模30人以上）","2","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385936","00450100","産業（製造業特定産業）別 産業（製造業特定産業）別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模10～29人）","3","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385937","00450100","産業（大・中分類）別 産業（大・中分類）、事業所規模、度数率階級別事業所数の割合（事業所規模30人以上）","4","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385943","00450100","特掲産業（小分類）別 特掲産業（小分類）、事業場規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模30人以上）","7","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385946","00450100","都道府県別 産業（大分類）、都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模100人以上）","8","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003385948","00450100","事業所平均月間実労働時間階級別 産業（計・製造業・その他）、事業所規模、事業所平均月間実労働時間階級別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模30人以上）","9","労働災害動向調査","（統計表）一般産業","年次",0,"2025-11-25"
"0003361040","00450100","建設業（総合工事業）都道府県別 建設業（総合工事業）都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数","12","労働災害動向調査","（統計表）総合工事業","年次",0,"2025-11-25"
"0003385952","00450100","建設業（総合工事業）工事の種類別 建設業（総合工事業）工事の種類、請負金額区分別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数","5","労働災害動向調査","（統計表）総合工事業","年次",0,"2025-11-25"
"0003385940","00450100","建設業（総合工事業）工事の種類別 建設業（総合工事業）工事の種類、度数率階級別工事現場数の割合","6","労働災害動向調査","（統計表）総合工事業","年次",0,"2025-11-25"
