"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003290548","00501004","1","概要 主要特用林産物需給総括表","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290643","00501004","10","品目別資料 乾しいたけの生産量（合計）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290644","00501004","11","品目別資料 乾しいたけの生産量（原木栽培計）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290645","00501004","12","品目別資料 乾しいたけの生産量（どんこ）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290646","00501004","13","品目別資料 乾しいたけの生産量（こうしん）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290647","00501004","14","品目別資料 乾しいたけの生産量（山成）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290648","00501004","15","品目別資料 乾しいたけの生産量（菌床栽培）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290649","00501004","16","品目別資料 生しいたけの生産量（合計）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290650","00501004","17","品目別資料 生しいたけの生産量（原木栽培）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290651","00501004","18","品目別資料 生しいたけの生産量（菌床栽培）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290652","00501004","19","品目別資料 乾しいたけの集荷販売実績","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290549","00501004","2","概要 国内価格の動向","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290653","00501004","20","品目別資料 生しいたけの集荷販売実績","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290654","00501004","21","品目別資料 しいたけ原木伏込量（合計）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290655","00501004","22","品目別資料 しいたけ原木伏込量（乾、生）","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
"0003290656","00501004","23","品目別資料 しいたけ平均的な原木の規格、原木価格 平均的な原木の規格","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","年次","201701-201712","2025-04-08"
