"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003425296","00350300","確速 概況品別国別表 輸入(1-12月：確定) 2021年～2023年 , (1-12月：確々報)2024年 , (1-3月：確報、4月：輸入9桁速報)2025年","貿易統計_全国分","概況品別国別表","輸入","年次","202401-202412","2025-05-29"
"0003228204","00350300","確定 航空貨物品別国別表 (輸出 1-12月：確定)　2001年～2005年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","200501-200512","2025-04-26"
"0003228205","00350300","確定 航空貨物品別国別表 (輸出 1-12月：確定)　2006年～2010年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","201001-201012","2025-04-26"
"0003228206","00350300","確定 航空貨物品別国別表 (輸出 1-12月：確定)　2011年～2015年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","201501-201512","2025-04-26"
"0003258355","00350300","確定 航空貨物品別国別表 (輸出 1-12月：確定)　1988年～1990年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","199001-199012","2025-04-26"
"0003258356","00350300","確定 航空貨物品別国別表 (輸出 1-12月：確定)　1991年～1995年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","199501-199512","2025-04-26"
"0003258357","00350300","確定 航空貨物品別国別表 (輸出 1-12月：確定)　1996年～2000年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","200001-200012","2025-04-26"
"0003313969","00350300","確定 航空貨物品別国別表 (輸出 1-12月：確定)　2016年～2020年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","202001-202012","2025-04-26"
"0003425297","00350300","確報 航空貨物品別国別表 輸出(1-12月：確定) 2021年～2023年 , (1-12月：確々報) 2024年 , (1-4月：確報) 2025年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸出","年次","202401-202412","2025-05-29"
"0003228211","00350300","確定 航空貨物品別国別表 (輸入 1-12月：確定)　2001年～2005年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","200501-200512","2025-02-27"
"0003228212","00350300","確定 航空貨物品別国別表 (輸入 1-12月：確定)　2006年～2010年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","201001-201012","2025-02-27"
"0003228213","00350300","確定 航空貨物品別国別表 (輸入 1-12月：確定)　2011年～2015年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","201501-201512","2025-02-27"
"0003258358","00350300","確定 航空貨物品別国別表 (輸入 1-12月：確定)　1988年～1990年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","199001-199012","2025-02-27"
"0003258359","00350300","確定 航空貨物品別国別表 (輸入 1-12月：確定)　1991年～1995年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","199501-199512","2025-02-27"
"0003258360","00350300","確定 航空貨物品別国別表 (輸入 1-12月：確定)　1996年～2000年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","200001-200012","2025-02-27"
"0003313970","00350300","確定 航空貨物品別国別表 (輸入 1-12月：確定)　2016年～2020年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","202001-202012","2025-02-27"
"0003425298","00350300","確速 航空貨物品別国別表 輸入(1-12月：確定) 2021年～2023年 , (1-12月：確々報)2024年 , (1-3月：確報、4月：輸入9桁速報)2025年","貿易統計_全国分（運送形態別）","航空貨物品別国別表","輸入","年次","202401-202412","2025-05-29"
"0003228218","00350300","確定 海上コンテナ貨物品別国別表 (輸出 1-12月：確定)　2001年～2005年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","200501-200512","2025-04-26"
"0003228219","00350300","確定 海上コンテナ貨物品別国別表 (輸出 1-12月：確定)　2006年～2010年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","201001-201012","2025-04-26"
"0003228220","00350300","確定 海上コンテナ貨物品別国別表 (輸出 1-12月：確定)　2011年～2015年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","201501-201512","2025-04-26"
"0003258361","00350300","確定 海上コンテナ貨物品別国別表 (輸出 1-12月：確定)　1988年～1990年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","199001-199012","2025-04-26"
"0003258362","00350300","確定 海上コンテナ貨物品別国別表 (輸出 1-12月：確定)　1991年～1995年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","199501-199512","2025-04-26"
"0003258363","00350300","確定 海上コンテナ貨物品別国別表 (輸出 1-12月：確定)　1996年～2000年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","200001-200012","2025-04-26"
"0003313971","00350300","確定 海上コンテナ貨物品別国別表 (輸出 1-12月：確定)　2016年～2020年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","202001-202012","2025-04-26"
"0003425299","00350300","確報 海上コンテナ貨物品別国別表 輸出(1-12月：確定) 2021年～2023年 , (1-12月：確々報) 2024年 , (1-4月：確報) 2025年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸出","年次","202401-202412","2025-05-29"
"0003228225","00350300","確定 海上コンテナ貨物品別国別表 (輸入 1-12月：確定)　2001年～2005年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","200501-200512","2025-02-27"
"0003228226","00350300","確定 海上コンテナ貨物品別国別表 (輸入 1-12月：確定)　2006年～2010年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","201001-201012","2025-02-27"
"0003228227","00350300","確定 海上コンテナ貨物品別国別表 (輸入 1-12月：確定)　2011年～2015年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","201501-201512","2025-02-27"
"0003258364","00350300","確定 海上コンテナ貨物品別国別表 (輸入 1-12月：確定)　1988年～1990年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","199001-199012","2025-02-27"
"0003258365","00350300","確定 海上コンテナ貨物品別国別表 (輸入 1-12月：確定)　1991年～1995年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","199501-199512","2025-02-27"
"0003258366","00350300","確定 海上コンテナ貨物品別国別表 (輸入 1-12月：確定)　1996年～2000年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","200001-200012","2025-02-27"
"0003313972","00350300","確定 海上コンテナ貨物品別国別表 (輸入 1-12月：確定)　2016年～2020年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","202001-202012","2025-02-27"
"0003425300","00350300","確速 海上コンテナ貨物品別国別表 輸入(1-12月：確定) 2021年～2023年 , (1-12月：確々報)2024年 , (1-3月：確報、4月：輸入9桁速報)2025年","貿易統計_全国分（運送形態別）","海上コンテナ貨物品別国別表","輸入","年次","202401-202412","2025-05-29"
"0003228235","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2001年～2002年","貿易統計_税関別","税関別品別国別表","輸出","年次","200201-200212","2025-04-26"
"0003228236","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2003年～2004年","貿易統計_税関別","税関別品別国別表","輸出","年次","200401-200412","2025-04-26"
"0003228237","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2005年～2006年","貿易統計_税関別","税関別品別国別表","輸出","年次","200601-200612","2025-04-26"
"0003228238","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2007年～2008年","貿易統計_税関別","税関別品別国別表","輸出","年次","200801-200812","2025-04-26"
"0003228239","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2009年～2010年","貿易統計_税関別","税関別品別国別表","輸出","年次","201001-201012","2025-04-26"
"0003228240","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2011年～2012年","貿易統計_税関別","税関別品別国別表","輸出","年次","201201-201212","2025-04-26"
"0003228241","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2013年～2014年","貿易統計_税関別","税関別品別国別表","輸出","年次","201401-201412","2025-04-26"
"0003228242","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2015年～2016年","貿易統計_税関別","税関別品別国別表","輸出","年次","201601-201612","2025-04-26"
"0003258367","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　1988年～1990年","貿易統計_税関別","税関別品別国別表","輸出","年次","199001-199012","2025-04-26"
"0003258368","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　1991年～1992年","貿易統計_税関別","税関別品別国別表","輸出","年次","199201-199212","2025-04-26"
"0003258369","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　1993年～1994年","貿易統計_税関別","税関別品別国別表","輸出","年次","199401-199412","2025-04-26"
"0003258370","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　1995年～1996年","貿易統計_税関別","税関別品別国別表","輸出","年次","199601-199612","2025-04-26"
"0003258371","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　1997年～1998年","貿易統計_税関別","税関別品別国別表","輸出","年次","199801-199812","2025-04-26"
"0003258372","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　1999年～2000年","貿易統計_税関別","税関別品別国別表","輸出","年次","200001-200012","2025-04-26"
"0003313973","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2017年～2018年","貿易統計_税関別","税関別品別国別表","輸出","年次","201801-201812","2025-04-26"
"0003334000","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2019年～2020年","貿易統計_税関別","税関別品別国別表","輸出","年次","202001-202012","2025-04-26"
"0003425301","00350300","確定 税関別品別国別表 (輸出 1-12月：確定)　2021年～2022年","貿易統計_税関別","税関別品別国別表","輸出","年次","202201-202212","2025-04-26"
"0004002162","00350300","確報 税関別品別国別表 輸出(1-12月：確定) 2023年 , (1-12月：確々報) 2024年 , (1-4月：確報) 2025年","貿易統計_税関別","税関別品別国別表","輸出","年次","202401-202412","2025-05-29"
"0003228250","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2001年～2002年","貿易統計_税関別","税関別品別国別表","輸入","年次","200201-200212","2025-02-27"
"0003228251","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2003年～2004年","貿易統計_税関別","税関別品別国別表","輸入","年次","200401-200412","2025-02-27"
"0003228252","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2005年～2006年","貿易統計_税関別","税関別品別国別表","輸入","年次","200601-200612","2025-02-27"
"0003228253","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2007年～2008年","貿易統計_税関別","税関別品別国別表","輸入","年次","200801-200812","2025-02-27"
"0003228254","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2009年～2010年","貿易統計_税関別","税関別品別国別表","輸入","年次","201001-201012","2025-02-27"
"0003228255","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2011年～2012年","貿易統計_税関別","税関別品別国別表","輸入","年次","201201-201212","2025-02-27"
"0003228256","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2013年～2014年","貿易統計_税関別","税関別品別国別表","輸入","年次","201401-201412","2025-02-27"
"0003228257","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2015年～2016年","貿易統計_税関別","税関別品別国別表","輸入","年次","201601-201612","2025-02-27"
"0003258373","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　1988年～1990年","貿易統計_税関別","税関別品別国別表","輸入","年次","199001-199012","2025-02-27"
"0003258374","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　1991年～1992年","貿易統計_税関別","税関別品別国別表","輸入","年次","199201-199212","2025-02-27"
"0003258375","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　1993年～1994年","貿易統計_税関別","税関別品別国別表","輸入","年次","199401-199412","2025-02-27"
"0003258376","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　1995年～1996年","貿易統計_税関別","税関別品別国別表","輸入","年次","199601-199612","2025-02-27"
"0003258377","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　1997年～1998年","貿易統計_税関別","税関別品別国別表","輸入","年次","199801-199812","2025-02-27"
"0003258378","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　1999年～2000年","貿易統計_税関別","税関別品別国別表","輸入","年次","200001-200012","2025-02-27"
"0003313974","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2017年～2018年","貿易統計_税関別","税関別品別国別表","輸入","年次","201801-201812","2025-02-27"
"0003334001","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2019年～2020年","貿易統計_税関別","税関別品別国別表","輸入","年次","202001-202012","2025-02-27"
"0003425302","00350300","確定 税関別品別国別表 (輸入 1-12月：確定)　2021年～2022年","貿易統計_税関別","税関別品別国別表","輸入","年次","202201-202212","2025-02-27"
"0004002161","00350300","確速 税関別品別国別表 輸入(1-12月：確定) 2023年 , (1-12月：確々報)2024年 , (1-3月：確報、4月：輸入9桁速報)2025年","貿易統計_税関別","税関別品別国別表","輸入","年次","202401-202412","2025-05-29"
"0003228265","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2001年～2002年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","200201-200212","2024-05-28"
"0003228266","00350300","確定 税関別概況品別国別表 (輸出 1-12月：確定)　2003年～2004年","貿易統計_税関別","税関別概況品別国別表","輸出","年次","200401-200412","2024-05-28"
