"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004001780","00500508","牛乳乳製品の生産動向（2020年度） 確報 1生乳生産量及び用途別処理量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","年度次","202004-202103","2023-03-20"
"0004001781","00500508","牛乳乳製品の生産動向（2020年度） 確報 2北海道・都府県生乳生産量及び用途別処理量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","年度次","202004-202103","2023-03-20"
"0004001782","00500508","牛乳乳製品の生産動向（2020年度） 確報 3地域別生乳生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","年度次","202004-202103","2023-03-20"
"0004001783","00500508","牛乳乳製品の生産動向（2020年度） 確報 4牛乳等生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","年度次","202004-202103","2023-03-20"
"0004001784","00500508","牛乳乳製品の生産動向（2020年度） 確報 5主要乳製品生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","年度次","202004-202103","2023-03-20"
"0004001785","00500508","牛乳乳製品の生産動向（2020年度） 確報 6バター、脱脂粉乳の期末在庫量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2020年度）","年度次","202004-202103","2023-03-20"
"0002074552","00500508","牛乳乳製品の生産動向（2021年度） 確報 1生乳生産量及び用途別処理量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","年度次","202104-202203","2025-05-20"
"0004012940","00500508","牛乳乳製品の生産動向（2021年度） 確報 2北海道・都府県生乳生産量及び用途別処理量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","年度次","202104-202203","2024-03-29"
"0004012941","00500508","牛乳乳製品の生産動向（2021年度） 確報 3地域別生乳生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","年度次","202104-202203","2024-03-29"
"0004012942","00500508","牛乳乳製品の生産動向（2021年度） 確報 4牛乳等生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","年度次","202104-202203","2024-03-29"
"0004012943","00500508","牛乳乳製品の生産動向（2021年度） 確報 5主要乳製品生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","年度次","202104-202203","2024-03-29"
"0004012944","00500508","牛乳乳製品の生産動向（2021年度） 確報 6バター、脱脂粉乳の期末在庫量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2021年度）","年度次","202104-202203","2024-03-29"
"0004025040","00500508","牛乳乳製品の生産動向（2022年度） 確報 1生乳生産量及び用途別処理量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2022年度）","年度次","202204-202303","2025-04-08"
"0004025041","00500508","牛乳乳製品の生産動向（2022年度） 確報 2北海道・都府県生乳生産量及び用途別処理量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2022年度）","年度次","202204-202303","2025-04-08"
"0004025042","00500508","牛乳乳製品の生産動向（2022年度） 確報 3地域別生乳生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2022年度）","年度次","202204-202303","2025-04-08"
"0004025043","00500508","牛乳乳製品の生産動向（2022年度） 確報 4牛乳等生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2022年度）","年度次","202204-202303","2025-04-08"
"0004025044","00500508","牛乳乳製品の生産動向（2022年度） 確報 5主要乳製品生産量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2022年度）","年度次","202204-202303","2025-04-08"
"0004025045","00500508","牛乳乳製品の生産動向（2022年度） 確報 6バター、脱脂粉乳の期末在庫量","牛乳乳製品の生産動向","確報","牛乳乳製品の生産動向（2022年度）","年度次","202204-202303","2025-04-08"
