"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003238100","00500217","1","木材需給報告書 主要需要部門別自県・他県・外材別素材入荷量累年統計","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-15"
"0003234706","00500217","2","木材需給報告書 需要部門別素材生産量累年統計","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-15"
"0003234707","00500217","3-1","木材需給報告書 主要樹種別素材生産量累年統計　需要部門別　全国","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-15"
"0003234708","00500217","3-2","木材需給報告書 主要樹種別素材生産量累年統計　都道府県別","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-15"
"0003234709","00500217","4","木材需給報告書 製材工場数及び製材用動力の出力数累年統計","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-14"
"0003234710","00500217","5","木材需給報告書 製材用素材の入荷量・消費量及び製材品の生産量・出荷量累年統計","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-15"
"0003234711","00500217","6","木材需給報告書 合単板累年統計　全国","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-14"
"0003234712","00500217","7","木材需給報告書 木材チップ累年統計","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-14"
"0003234713","00500217","8","木材需給報告書 素材価格累年統計　全国","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-15"
"0003234714","00500217","9","木材需給報告書 木材製品卸売価格累年統計　全国","木材統計調査","長期累年",NA,NA,"年次","201701-201712","2020-10-14"
"0003093730","00500217","1","森林計画区別統計 製材用素材交流表","木材統計調査","確報","平成20年木材需給報告書",NA,"年次","200801-200812","2019-02-05"
"0003055322","00500217","1-1","総括表 素材需給の動向　素材の需給 需要部門別、供給部門別素材需給","木材統計調査","確報","平成20年木材需給報告書",NA,"年次","200801-200812","2019-02-05"
"0003055323","00500217","1-1","総括表 素材需給の動向　素材の需給 需要部門別素材需要量","木材統計調査","確報","平成20年木材需給報告書",NA,"年次","200801-200812","2019-02-05"
