"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003408599","00500503","1-1","果樹品種別生産動向調査 栽培面積累年統計　うんしゅうみかん","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400285","00500503","1-10","果樹品種別生産動向調査 栽培面積累年統計　中国なし","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400286","00500503","1-11","果樹品種別生産動向調査 栽培面積累年統計　もも（生食用）","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400287","00500503","1-12","果樹品種別生産動向調査 栽培面積累年統計　もも（加工用）","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400288","00500503","1-13","果樹品種別生産動向調査 栽培面積累年統計　ネクタリン","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400289","00500503","1-14","果樹品種別生産動向調査 栽培面積累年統計　すもも","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400290","00500503","1-15","果樹品種別生産動向調査 栽培面積累年統計　プルーン","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400291","00500503","1-16","果樹品種別生産動向調査 栽培面積累年統計　おうとう","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400292","00500503","1-17","果樹品種別生産動向調査 栽培面積累年統計　うめ","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400293","00500503","1-18","果樹品種別生産動向調査 栽培面積累年統計　びわ","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400294","00500503","1-19","果樹品種別生産動向調査 栽培面積累年統計　かき","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400090","00500503","1-2","果樹品種別生産動向調査 栽培面積累年統計　なつみかん","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003408671","00500503","1-20","果樹品種別生産動向調査 栽培面積累年統計　くり","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400295","00500503","1-21","果樹品種別生産動向調査 栽培面積累年統計　キウイフルーツ","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400296","00500503","1-22","果樹品種別生産動向調査 栽培面積累年統計　パインアップル","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400222","00500503","1-3","果樹品種別生産動向調査 栽培面積累年統計　はっさく","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400279","00500503","1-4","果樹品種別生産動向調査 栽培面積累年統計　いよかん","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400280","00500503","1-5","果樹品種別生産動向調査 栽培面積累年統計　ネーブルオレンジ","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400281","00500503","1-6","果樹品種別生産動向調査 栽培面積累年統計　りんご","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400282","00500503","1-7","果樹品種別生産動向調査 栽培面積累年統計　ぶどう（生食用）","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
"0003400283","00500503","1-8","果樹品種別生産動向調査 栽培面積累年統計　日本なし","特産果樹生産動態等調査","長期累年","年次",,"2024-04-04"
