"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003174502","00200357","1-1-1","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第1表 産業別、企業数 従業者規模別","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174503","00200357","1-1-1","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第1表 産業別、企業数 事業形態別","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174581","00200357","1-1-1","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第1表 産業別、企業数 売上高規模別企業数","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174600","00200357","1-1-1","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第1表 産業別、企業数 資本金規模別","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174601","00200357","1-1-1","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第1表 産業別、企業数 常時従業者規模別","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174660","00200357","1-1-10","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第10表 産業別、事業の外部委託","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174583","00200357","1-1-11","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第11表 産業別、企業数、技術の所有件数及び使用件数、技術取引の受取金額、支払金額","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174661","00200357","1-1-12","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第12表 産業別、企業数、研究開発への取組状況、研究開発、研究開発投資、能力開発","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174623","00200357","1-1-13","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第13表 産業別、企業数、取締役の人数","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174624","00200357","1-1-13","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第13表 産業別、企業数、ストックオプション制度の実施状況","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174662","00200357","1-1-13","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第13表 産業別、企業数、委員会設置会社の状況","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174680","00200357","1-1-14","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第14表 産業別、都道府県別、本社所在地企業数、従業者数、売上高、付加価値額","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174625","00200357","1-1-15","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第15表 産業別、子会社・関連会社の所有状況","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174663","00200357","1-1-16","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第16表 産業別、子会社・関連会社の増加・減少企業数及び国内・海外別保有社数","情報通信業基本調査","年度次",0,"2020-11-17"
"0003174643","00200357","1-1-17","第1章　情報通信業を営む企業の概要　第1節　アクティビティベース結果 第17表 産業別、企業数、関係会社への投融資額等","情報通信業基本調査","年度次",0,"2020-11-17"
