"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003118884","00500210","1","統計表 漁業経営体に関する基本的項目 漁業経営体・漁船","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003124235","00500210","1","統計表 漁業経営体に関する基本的項目 海上作業従事者・陸上作業従事者・新規就業者","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003117355","00500210","2","統計表 漁業経営体 出荷先別延べ経営体数","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003117368","00500210","2","統計表 漁業経営体 経営体階層別経営体数 漁業層","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003117369","00500210","2","統計表 漁業経営体 動力漁船保有隻数別経営体数","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003117386","00500210","2","統計表 漁業経営体 経営体階層別経営体数 経営体階層","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003117387","00500210","2","統計表 漁業経営体 営んだ漁業種類別経営体数","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003117405","00500210","2","統計表 漁業経営体 経営組織別経営体数","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003117406","00500210","2","統計表 漁業経営体 漁獲物・収獲物の販売金額別経営体数","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
"0003124250","00500210","2","統計表 漁業経営体 主とする漁業種類別経営体数","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2019-03-14"
