"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003408441","00501001","1","総括表　　生産森林組合 設立動機別組合数　（その１）","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408442","00501001","1","総括表　　生産森林組合 設立動機別組合数　（その２）","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408516","00501001","1","都道府県別内訳表　　生産森林組合 設立動機別組合数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408392","00501001","1-1","総括表　　森林組合　　組織・執行体制 森林組合数及び調査票提出組合数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408458","00501001","1-1","都道府県別内訳表　　森林組合　　組織・執行体制 地区内森林面積　地区内森林面積の内訳","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408459","00501001","1-1","都道府県別内訳表　　森林組合　　組織・執行体制 地区内森林面積　うち組合員所有面積","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408402","00501001","1-10","総括表　　森林組合　　組織・執行体制 専従職員数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408468","00501001","1-10","都道府県別内訳表　　森林組合　　組織・執行体制 専従職員の内訳","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408403","00501001","1-11","総括表　　森林組合　　組織・執行体制 払込済出資金別組合数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408470","00501001","1-12","都道府県別内訳表　　森林組合　　組織・執行体制 市売市場の内訳","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408393","00501001","1-2","総括表　　森林組合　　組織・執行体制 地区内森林面積及び組合員所有森林面積　地区内森林面積の内訳","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408394","00501001","1-2","総括表　　森林組合　　組織・執行体制 地区内森林面積及び組合員所有森林面積　「組合員所有森林面積」のうち「私有林」の地区内居住者所有と地区外居住者所有の内訳","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408460","00501001","1-2","都道府県別内訳表　　森林組合　　組織・執行体制 組合員所有森林（私有林）の内訳","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408395","00501001","1-3","総括表　　森林組合　　組織・執行体制 組合員所有森林面積別組合数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408461","00501001","1-3","都道府県別内訳表　　森林組合　　組織・執行体制 組合員所有森林面積別組合数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408396","00501001","1-4","総括表　　森林組合　　組織・執行体制 組合員数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408462","00501001","1-4","都道府県別内訳表　　森林組合　　組織・執行体制 組合員数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408397","00501001","1-5","総括表　　森林組合　　組織・執行体制 総代会制の有無及び役員選出の方法","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408463","00501001","1-5","都道府県別内訳表　　森林組合　　組織・執行体制 総代会制の有無及び役員選出の方法","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408398","00501001","1-6","総括表　　森林組合　　組織・執行体制 林業労働力確保法における認定事業体か否か","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003411311","00501001","1-6","都道府県別内訳表　　森林組合　　組織・執行体制 林業労働力確保法における認定事業体か否か","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408399","00501001","1-7","総括表　　森林組合　　組織・執行体制 許可等","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408465","00501001","1-7","都道府県別内訳表　　森林組合　　組織・執行体制 許可等","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003411967","00501001","1-8","都道府県別内訳表　　森林組合　　組織・執行体制 役員","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003412085","00501001","1-8","総括表　　森林組合　　組織・執行体制 役員","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408401","00501001","1-9","総括表　　森林組合　　組織・執行体制 常勤役員・専従職員数別組合数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408467","00501001","1-9","都道府県別内訳表　　森林組合　　組織・執行体制 常勤役員・専従職員数別組合数","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003411336","00501001","10","総括表　　生産森林組合 販売実績等","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003411338","00501001","10","都道府県別内訳表　　生産森林組合 販売実績等　販売実績","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408454","00501001","11","総括表　　生産森林組合 新植・保育及び主伐・間伐実績","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408530","00501001","11","都道府県別内訳表　　生産森林組合 新植・保育実績　新植・保育","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408455","00501001","12","総括表　　生産森林組合 税金関係　青色申告の有無","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408456","00501001","12","総括表　　生産森林組合 税金関係　青色申告をしている組合のうち法人税法第６０条の２の「協同組合等の事業分量配当等の損金算入」の有無","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408457","00501001","12","総括表　　生産森林組合 税金関係　当期中に納付した税金額","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408531","00501001","12","都道府県別内訳表　　生産森林組合 林産事業の伐採方法別内訳　主間伐実績","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408532","00501001","13","都道府県別内訳表　　生産森林組合 税金関係　青色申告の有無","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408533","00501001","13","都道府県別内訳表　　生産森林組合 税金関係　法人税法60条の２の「協同組合等の事業分量配当等の損金算入」の有無","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408534","00501001","13","都道府県別内訳表　　生産森林組合 税金関係　当期中に納付した税金額","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408443","00501001","2","総括表　　生産森林組合 森林組合及び森林組合連合会への加入の有無","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
"0003408517","00501001","2","都道府県別内訳表　　生産森林組合 森林組合及び森林組合連合会への加入の有無","森林組合一斉調査","確報","森林組合統計","年度次",,"2024-01-15"
