"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003386177","00550500","1","基本集計 資金運用〔設備投資、投資、融資、長期借入金返済、短期借入金返済、社債償還、自己株式取得、配当金支払〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386214","00550500","10","取得設備投資額の構成比及び寄与率","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386215","00550500","10-4","取得設備投資額の構成比及び寄与率 (4) 目的別設備投資の構成比(業種別)","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386216","00550500","18-1-1","資金調達環境について (１)資金調達・運用状況について (資金運用)","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386217","00550500","18-1-2","資金調達環境について (１)資金調達・運用状況について（資金調達）","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386218","00550500","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金運用）","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386219","00550500","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金運用構成比・伸び率）","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386220","00550500","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金調達）","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386221","00550500","18-1-4","資金調達環境について (１)資金調達・運用状況について 4.主要業種別の資金調達・運用　実績／実績見込／計画（資金調達構成比・伸び率）","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386222","00550500","19-1","海外設備投資実績及び計画　(１)海外設備投資額《大分類》","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386223","00550500","19-2","海外設備投資実績及び計画　(２)海外設備投資額《細分類》","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386178","00550500","2","基本集計 資金調達〔自己資金、投資回収、融資回収、長期借入金、短期借入金、社債、株式、資産売却・流動化〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386224","00550500","20","主要機関別設備投資調査結果","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386179","00550500","3","基本集計 投資〔投資先別構成比〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386180","00550500","3","基本集計 投資〔目的別構成比〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386207","00550500","3-1","国内設備投資実績及び計画(１)取得設備投資額《大分類》","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386208","00550500","3-2","国内設備投資実績及び計画(２)取得設備投資額《細分類》","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386209","00550500","3-3","国内設備投資実績及び計画(３)売上高に対する設備投資額","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386181","00550500","4","基本集計 設備投資〔売上高(単体)、国内設備投資額(単体)、国内設備投資額(単体)の投資目的別構成比、海外設備投資額(連結)、海外設備投資額(連結)の投資目的別構成比、海外設備投資額(連結)の地域別・国別構成比〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386210","00550500","4","設備投資計画修正率","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386211","00550500","5","業種別設備投資計画の伸び率推移(各年度３月調査時点での翌年度計画)","経済産業省企業金融調査","-","201301-201312","2019-12-19"
"0003386182","00550500","5-1","基本集計 その他調査項目A〔設備投資が増加する理由〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386183","00550500","5-1","基本集計 その他調査項目A〔設備投資が減少する理由〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386184","00550500","5-1","基本集計 その他調査項目A〔今後の設備投資立地先〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386185","00550500","5-1","基本集計 その他調査項目A〔投資額が増加する要因〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386186","00550500","5-1","基本集計 その他調査項目A〔投資額が減少する要因〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386187","00550500","5-1","基本集計 その他調査項目A〔今後の投資先〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386188","00550500","5-1","基本集計 その他調査項目A〔ベンチャー企業への投資〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386189","00550500","5-1","基本集計 その他調査項目A〔ベンチャー企業への投資方法〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386190","00550500","5-1","基本集計 その他調査項目A〔調達手法のうち優先しているもの〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386191","00550500","5-1","基本集計 その他調査項目A〔借入手法〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386192","00550500","5-1","基本集計 その他調査項目A〔増資引き受け先〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386193","00550500","5-1","基本集計 その他調査項目A〔借入金調達先〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386194","00550500","5-1","基本集計 その他調査項目A〔直接調達〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386195","00550500","5-1","基本集計 その他調査項目A〔資産売却要因〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386196","00550500","5-1","基本集計 その他調査項目A〔海外事業展開の際に活用した(する予定の)資金調達手法〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386197","00550500","5-1","基本集計 その他調査項目A〔貴社が海外進出するにあたっての課題〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386198","00550500","5-2","基本集計 その他調査項目B〔今後の国内設備投資の目的〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
"0003386199","00550500","5-2","基本集計 その他調査項目B〔今後の海外設備投資の目的〕","経済産業省企業金融調査","年次","201401-201412","2019-12-19"
