"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003282942","00401101","1","宗教法人数総括表","宗教統計調査","-","202304-202403","2024-12-25"
"0003280702","00401101","2","全国社寺教会等宗教団体・教師・信者数　（１）系統別　団体数","宗教統計調査","-","202304-202403","2024-12-25"
"0003282740","00401101","2","全国社寺教会等宗教団体・教師・信者数　（２）都道府県別　団体数","宗教統計調査","-","202304-202403","2024-12-25"
"0003282962","00401101","2","全国社寺教会等宗教団体・教師・信者数　（１）系統別　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003282963","00401101","2","全国社寺教会等宗教団体・教師・信者数　（２）都道府県別　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003282940","00401101","3","系統別単位宗教団体・教師・信者数　団体数","宗教統計調査","-","202304-202403","2024-12-25"
"0003282941","00401101","3","系統別単位宗教団体・教師・信者数　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003283223","00401101","4","包括宗教団体の被包括宗教団体・教師・信者数(系統別・所轄庁別)　団体数","宗教統計調査","-","202304-202403","2024-12-25"
"0003283224","00401101","4","包括宗教団体の被包括宗教団体・教師・信者数(系統別・所轄庁別)　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003283200","00401101","5","単立宗教法人・教師・信者数　宗教法人","宗教統計調査","-","202304-202403","2024-12-25"
"0003283201","00401101","5","単立宗教法人・教師・信者数　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003283235","00401101","6","包括宗教団体別被包括宗教団体・教師・信者数　文部科学大臣所轄包括宗教法人　宗教法人","宗教統計調査","-","202304-202403","2024-12-25"
"0003283236","00401101","6","包括宗教団体別被包括宗教団体・教師・信者数　文部科学大臣所轄包括宗教法人　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003283591","00401101","6","包括宗教団体別被包括宗教団体・教師・信者数　都道府県知事所轄包括宗教法人　宗教法人","宗教統計調査","-","202304-202403","2024-12-25"
"0003283592","00401101","6","包括宗教団体別被包括宗教団体・教師・信者数　都道府県知事所轄包括宗教法人　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003283599","00401101","6","包括宗教団体別被包括宗教団体・教師・信者数　その他　宗教法人","宗教統計調査","-","202304-202403","2024-12-25"
"0003284420","00401101","6","包括宗教団体別被包括宗教団体・教師・信者数　その他　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
"0003284679","00401101","7","主要数値の推移　宗教法人","宗教統計調査","-","202304-202403","2024-12-25"
"0003284680","00401101","7","主要数値の推移　教師・信者数","宗教統計調査","-","202304-202403","2024-12-25"
