"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003085552","00200553","1-1","民営事業所数，男女別従業者数及び1km2当たり事業所数及び従業者数－全国，都道府県，市区町村，大都市圏","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003085698","00200553","1-1","産業（大分類），経営組織（５区分）別民営事業所数，従業者数，売上（収入）金額，１事業所当たり従業者数，１事業所当たり売上(収入)金額及び従業者１人当たり売上(収入)金額－全国，都道府県","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003085523","00200553","1-2","経営組織（４区分）別民営事業所数及び男女別従業者数－全国，都道府県，市区町村，大都市圏","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003085699","00200553","1-2","産業（大分類），経営組織（５区分）別民営事業所数，従業者数，売上（収入）金額，１事業所当たり従業者数，１事業所当たり売上(収入)金額及び従業者１人当たり売上(収入)金額－都道府県，市区町村","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003085525","00200553","10-1","産業（中分類）別民営事業所数及び１事業所当たり従業者数－都道府県，市区町村","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003085536","00200553","10-2","産業（中分類）別従業上の地位（６区分），男女別従業者数，出向・派遣従業者数－都道府県，市区町村","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003090063","00200553","11","産業(小分類)，従業者規模(８区分)，経営組織(４区分)別民営事業所数，男女別従業者数及び常用雇用者数―都道府県，市区町村","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003090083","00200553","12","産業(大分類)，従業者規模(８区分)，単独・本所・支所(３区分)，経営組織(４区分)別民営事業所数及び男女別従業者数―全国，都道府県","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003090059","00200553","13","産業(小分類)，常用雇用者規模(15区分)，経営組織(４区分)別民営事業所数及び従業上の地位(３区分)，男女別従業者数―全国","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003090122","00200553","14","産業(小分類)，常用雇用者規模(10区分)，経営組織(４区分)別民営事業所数及び従業上の地位(３区分)，男女別従業者数―都道府県，大都市","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003090123","00200553","15","産業(中分類)，常用雇用者規模(15区分)別民営事業所数，男女別従業者数及び常用雇用者数―県庁所在市，人口30万以上市","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003090115","00200553","16","産業(中分類)，常用雇用者規模(６区分)別民営事業所数，男女別従業者数及び常用雇用者数―市区町村","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
"0003090074","00200553","17-1","産業(小分類)，常用雇用者規模(15区分)別民営事業所数―全国，都道府県","平成24年経済センサス‐活動調査","事業所に関する集計","産業横断的集計",NA,NA,"-",201202,"2024-06-25"
