"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003205900","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成28年８月１日現在） 管理主体別計","農道整備状況調査","確報","平成28年農道整備状況調査","年次","201601-201612","2017-10-18"
"0003205901","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成28年８月１日現在） 土地改良区等が管理","農道整備状況調査","確報","平成28年農道整備状況調査","年次","201601-201612","2017-10-18"
"0003205920","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成28年８月１日現在） 都道府県が管理","農道整備状況調査","確報","平成28年農道整備状況調査","年次","201601-201612","2017-10-18"
"0003206360","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成28年８月１日現在） 市町村が管理","農道整備状況調査","確報","平成28年農道整備状況調査","年次","201601-201612","2017-10-18"
"0003334480","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成29年８月１日現在） 管理主体別計","農道整備状況調査","確報","平成29年農道整備状況調査","年次","201701-201712","2019-06-28"
"0003334500","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成29年８月１日現在） 都道府県が管理","農道整備状況調査","確報","平成29年農道整備状況調査","年次","201701-201712","2019-06-28"
"0003334641","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成29年８月１日現在） 市町村が管理","農道整備状況調査","確報","平成29年農道整備状況調査","年次","201701-201712","2019-06-28"
"0003334642","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成30年８月１日現在） 市町村が管理","農道整備状況調査","確報","平成29年農道整備状況調査","年次","201801-201812","2019-06-28"
"0003334980","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成29年８月１日現在） 土地改良区等が管理","農道整備状況調査","確報","平成29年農道整備状況調査","年次","201701-201712","2019-06-28"
"0003334481","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成30年８月１日現在） 管理主体別計","農道整備状況調査","確報","平成30年農道整備状況調査","年次","201801-201812","2019-06-28"
"0003334501","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成30年８月１日現在） 都道府県が管理","農道整備状況調査","確報","平成30年農道整備状況調査","年次","201801-201812","2019-06-28"
"0003334981","00500246","1","農道整備状況調査 農道の管理主体別延長距離（平成30年８月１日現在） 土地改良区等が管理","農道整備状況調査","確報","平成30年農道整備状況調査","年次","201801-201812","2019-06-28"
"0001874085","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和元年８月１日現在） 管理主体別計","農道整備状況調査","確報","令和元年農道整備状況調査","年次","201901-201912","2021-09-30"
"0001874086","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和元年８月１日現在） 都道府県が管理","農道整備状況調査","確報","令和元年農道整備状況調査","年次","201901-201912","2021-09-30"
"0001874087","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和元年８月１日現在） 市町村が管理","農道整備状況調査","確報","令和元年農道整備状況調査","年次","201901-201912","2021-09-30"
"0001874088","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和元年８月１日現在） 土地改良区等が管理","農道整備状況調査","確報","令和元年農道整備状況調査","年次","201901-201912","2021-09-30"
"0001874154","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和２年８月１日現在） 管理主体別計","農道整備状況調査","確報","令和２年農道整備状況調査結果","年次","202001-202012","2021-11-30"
"0001874155","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和２年８月１日現在） 都道府県が管理","農道整備状況調査","確報","令和２年農道整備状況調査結果","年次","202001-202012","2021-11-30"
"0001874156","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和２年８月１日現在） 市町村が管理","農道整備状況調査","確報","令和２年農道整備状況調査結果","年次","202001-202012","2021-11-30"
"0001874157","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和２年８月１日現在） 土地改良区等が管理","農道整備状況調査","確報","令和２年農道整備状況調査結果","年次","202001-202012","2021-11-30"
"0001995441","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和３年８月１日現在） 管理主体別計、都道府県が管理、市町村が管理、土地改良区等が管理","農道整備状況調査","確報","令和３年農道整備状況調査結果","年次","202101-202112","2023-03-07"
"0002062623","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和４年８月１日現在） 管理主体別計、都道府県が管理、市町村が管理、土地改良区等が管理","農道整備状況調査","確報","令和４年農道整備状況調査結果","年次","202201-202212","2024-03-28"
"0002110995","00500246","1","農道整備状況調査 農道の管理主体別延長距離（令和５年８月１日現在） 管理主体別計 都道府県が管理 市町村が管理 土地改良区等が管理","農道整備状況調査","確報","令和５年農道整備状況調査結果","年次","202301-202312","2025-04-09"
