"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003130681","00600280","1-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第１表　入港船舶表 港格 2005年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130682","00600280","1-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第１表　入港船舶表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130773","00600280","1-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第１表　入港船舶表 都道府県","港湾統計（年報）","年次",0,"2025-03-21"
"0003130683","00600280","1-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第２表　船舶乗降人員表 港格 2005年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130684","00600280","1-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第２表　船舶乗降人員表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130737","00600280","1-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第２表　船舶乗降人員表 都道府県","港湾統計（年報）","年次",0,"2025-03-21"
"0003130685","00600280","1-3-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（１）トン数総数表 港格 2005年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130738","00600280","1-3-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（１）トン数総数表 都道府県","港湾統計（年報）","年次",0,"2025-03-21"
"0003130774","00600280","1-3-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（１）トン数総数表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130739","00600280","1-3-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（２）品種別都道府県別表（輸移出入）","港湾統計（年報）","年次",0,"2025-03-21"
"0003130686","00600280","1-3-3","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（３）コンテナ・シャーシトン数総数表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130775","00600280","1-3-3","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（３）コンテナ・シャーシトン数総数表 港格 2005年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130793","00600280","1-3-3","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（３）コンテナ・シャーシトン数総数表 都道府県","港湾統計（年報）","年次",0,"2025-03-21"
"0003130794","00600280","1-4","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第４表　自動車航送車両台数表 港格 2005年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130795","00600280","1-4","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第４表　自動車航送車両台数表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130796","00600280","1-4","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第４表　自動車航送車両台数表 都道府県","港湾統計（年報）","年次",0,"2025-03-21"
"0003130687","00600280","1-5-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第５表　コンテナ個数・シャーシ台数表　（１）コンテナ個数表 港格 2005年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130688","00600280","1-5-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第５表　コンテナ個数・シャーシ台数表　（１）コンテナ個数表 都道府県","港湾統計（年報）","年次",0,"2025-03-21"
"0003130776","00600280","1-5-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第５表　コンテナ個数・シャーシ台数表　（１）コンテナ個数表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130689","00600280","1-5-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第５表　コンテナ個数・シャーシ台数表　（２）シャーシ台数 港格 2005年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130690","00600280","1-5-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第５表　コンテナ個数・シャーシ台数表　（２）シャーシ台数 都道府県","港湾統計（年報）","年次",0,"2025-03-21"
"0003130797","00600280","1-5-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第５表　コンテナ個数・シャーシ台数表　（２）シャーシ台数 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130777","00600280","2-1","第２部　甲種港湾 第１表　入港船舶表 港格 2009年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130799","00600280","2-1","第２部　甲種港湾 第１表　入港船舶表 甲種港湾 2009年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130813","00600280","2-1","第２部　甲種港湾 第１表　入港船舶表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130814","00600280","2-1","第２部　甲種港湾 第１表　入港船舶表 甲種港湾 2010年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130741","00600280","2-2","第２部　甲種港湾 第２表　船舶乗降人員表 港格 2009年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130779","00600280","2-2","第２部　甲種港湾 第２表　船舶乗降人員表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130800","00600280","2-2","第２部　甲種港湾 第２表　船舶乗降人員表 甲種港湾 2009年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130801","00600280","2-2","第２部　甲種港湾 第２表　船舶乗降人員表 甲種港湾 2010年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130743","00600280","2-3-1","第２部　甲種港湾 第３表　海上出入貨物表　（１）トン数総数表 港格 2009年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130780","00600280","2-3-1","第２部　甲種港湾 第３表　海上出入貨物表　（１）トン数総数表 甲種港湾 2009年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130802","00600280","2-3-1","第２部　甲種港湾 第３表　海上出入貨物表　（１）トン数総数表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130803","00600280","2-3-1","第２部　甲種港湾 第３表　海上出入貨物表　（１）トン数総数表 甲種港湾 2010年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130691","00600280","2-3-2","第２部　甲種港湾 第３表　海上出入貨物表　（２）品種別都道府県別表（輸移出入）","港湾統計（年報）","年次",0,"2025-03-21"
"0003130744","00600280","2-3-3","第２部　甲種港湾 第３表　海上出入貨物表　（３）コンテナ・シャーシトン数総数表 港格 2012年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130745","00600280","2-3-3","第２部　甲種港湾 第３表　海上出入貨物表　（３）コンテナ・シャーシトン数総数表 甲種港湾 2010年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003130804","00600280","2-3-3","第２部　甲種港湾 第３表　海上出入貨物表　（３）コンテナ・シャーシトン数総数表 甲種港湾 2009年","港湾統計（年報）","年次",0,"2025-03-21"
"0003130815","00600280","2-3-3","第２部　甲種港湾 第３表　海上出入貨物表　（３）コンテナ・シャーシトン数総数表 港格 2009年～2011年","港湾統計（年報）","年次",0,"2025-03-21"
"0003131922","00600280","2-3-4","第２部　甲種港湾 第３表　海上出入貨物表　（４）輸出貨物品種別仕向国・地域別表 2009年","港湾統計（年報）","年次",0,"2025-03-21"
"0003131923","00600280","2-3-4","第２部　甲種港湾 第３表　海上出入貨物表　（４）輸出貨物品種別仕向国・地域別表 2010年～2019年","港湾統計（年報）","年次",0,"2025-03-21"
"0004001881","00600280","2-3-4","第２部　甲種港湾 第３表　海上出入貨物表　（４）輸出貨物品種別貨物形態別仕向国・地域別表 2020年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003131924","00600280","2-3-5","第２部　甲種港湾 第３表　海上出入貨物表　（５）輸入貨物品種別仕出国・地域別表 2009年","港湾統計（年報）","年次",0,"2025-03-21"
"0003131925","00600280","2-3-5","第２部　甲種港湾 第３表　海上出入貨物表　（５）輸入貨物品種別仕出国・地域別表 2010年～2019年","港湾統計（年報）","年次",0,"2025-03-21"
"0004001900","00600280","2-3-5","第２部　甲種港湾 第３表　海上出入貨物表　（５）輸入貨物品種別貨物形態別仕出国・地域別表 2020年～","港湾統計（年報）","年次",0,"2025-03-21"
"0003131089","00600280","2-3-6","第２部　甲種港湾 第３表　海上出入貨物表　（６）移出貨物品種別仕向港別表 2010年～2019年","港湾統計（年報）","年次",0,"2025-03-21"
"0003131098","00600280","2-3-6","第２部　甲種港湾 第３表　海上出入貨物表　（６）移出貨物品種別仕向港別表 2009年","港湾統計（年報）","年次",0,"2025-03-21"
"0004001901","00600280","2-3-6","第２部　甲種港湾 第３表　海上出入貨物表　（６）移出貨物品種別貨物形態別仕向港別表 2020年～","港湾統計（年報）","年次",0,"2025-03-21"
