"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0002011840","00500509","令和２年度チーズの需給表 統計表","チーズの需給表","確報","令和２年度チーズの需給表","年度次","202004-202103","2023-03-07"
"0002069043","00500509","令和３年度チーズの需給表 統計表","チーズの需給表","確報","令和３年度チーズの需給表","年度次","202104-202203","2024-03-29"
"0002119864","00500509","令和４年度チーズの需給表 統計表","チーズの需給表","確報","令和４年度チーズの需給表","年度次","202204-202303","2025-04-08"
