"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0001880311","00500213","1","漁業動態統計 漁船規模別隻数累年統計","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880312","00500213","2","漁業動態統計 経営組織別漁業経営体数累年統計","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880313","00500213","3","漁業動態統計 経営体階層別漁業経営体数累年統計","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880314","00500213","4","漁業動態統計 沿岸、沖合・遠洋漁業別漁業就業者数累年統計","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880315","00500213","5","漁業動態統計 自営漁業就業者数累年統計","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880316","00500213","6","漁業動態統計 漁業雇われ就業者数累年統計","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880317","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 全国","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880318","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 北海道","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880319","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 青森","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880320","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 岩手","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880321","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 宮城","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880322","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 秋田","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880323","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 山形","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880324","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 福島","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880325","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 茨城","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880326","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 千葉","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880327","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 東京","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880328","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 神奈川","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880329","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 新潟","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
"0001880330","00500213","7","漁業動態統計 海面養殖漁業経営体数累年統計 富山","漁業就業動向調査","長期累年","漁業動態統計年報","年次","200701-200712","2021-12-24"
