"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003326701","00600870","2019年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","201904-202003","2024-08-30"
"0003327160","00600870","2019年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","201904-202003","2024-08-30"
"0003408317","00600870","2018年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","201804-201903","2024-08-30"
"0003408331","00600870","2018年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","201804-201903","2024-08-30"
"0003408592","00600870","2017年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","201704-201803","2024-08-30"
"0003408593","00600870","2017年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","201704-201803","2024-08-30"
"0003408713","00600870","2016年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","201604-201703","2024-08-30"
"0003408714","00600870","2016年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","201604-201703","2024-08-30"
"0003426893","00600870","2020年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","202004-202103","2024-08-30"
"0003426894","00600870","2020年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","202004-202103","2024-08-30"
"0003444198","00600870","2021年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","202104-202203","2024-08-30"
"0003444199","00600870","2021年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","202104-202203","2024-08-30"
"0003460599","00600870","2022年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","202204-202303","2024-08-30"
"0003460600","00600870","2022年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","202204-202303","2024-08-30"
"0004009100","00600870","2023年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","202304-202403","2024-08-30"
"0004009101","00600870","2023年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","202304-202403","2024-08-30"
"0004020540","00600870","2024年度 01建設投資の投資額、前年度比及び構成比の推移（名目値・実質値別）","建設投資見通し","年度次","202404-202503","2024-08-30"
"0004020541","00600870","2024年度 02地域別建設投資の投資額及び前年度比の推移（名目値）","建設投資見通し","年度次","202404-202503","2024-08-30"
