"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003423095","00600350","2-2","鉄・軌道旅客輸送 旅客営業キロ及び旅客数量 運輸局別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003423105","00600350","2-2","鉄・軌道旅客輸送 旅客営業キロ及び旅客数量 業態別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003440000","00600350","2-2","鉄・軌道旅客輸送 旅客営業キロ及び旅客数量 運輸局別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003440001","00600350","2-2","鉄・軌道旅客輸送 旅客営業キロ及び旅客数量 業態別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003423097","00600350","2-3","鉄・軌道旅客輸送 旅客人キロ 運輸局別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003423106","00600350","2-3","鉄・軌道旅客輸送 旅客人キロ 業態別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003439998","00600350","2-3","鉄・軌道旅客輸送 旅客人キロ 業態別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003440002","00600350","2-3","鉄・軌道旅客輸送 旅客人キロ 運輸局別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003423099","00600350","2-4","鉄・軌道旅客輸送 旅客列車及び旅客車走行キロ 運輸局別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003423107","00600350","2-4","鉄・軌道旅客輸送 旅客列車及び旅客車走行キロ 業態別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003440003","00600350","2-4","鉄・軌道旅客輸送 旅客列車及び旅客車走行キロ 運輸局別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003440004","00600350","2-4","鉄・軌道旅客輸送 旅客列車及び旅客車走行キロ 業態別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003440018","00600350","2-5-1","鉄・軌道旅客輸送 旅客営業キロ及び旅客数量 路線別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003440038","00600350","2-5-2","鉄・軌道旅客輸送 旅客人キロ 路線別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003440019","00600350","2-5-3","鉄・軌道旅客輸送 旅客列車及び旅客車走行キロ 路線別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003423101","00600350","3-2-1","鉄道貨物輸送 貨物営業キロ及び貨物数量 輸送トン数","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003440005","00600350","3-2-1","鉄道貨物輸送 貨物営業キロ及び貨物数量 輸送トン数","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003423102","00600350","3-2-2","鉄道貨物輸送 貨物営業キロ及び貨物数量 発送トン数","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003440006","00600350","3-2-2","鉄道貨物輸送 貨物営業キロ及び貨物数量 発送トン数","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003423103","00600350","3-3","鉄道貨物輸送 貨物トンキロ 運輸局別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003440007","00600350","3-3","鉄道貨物輸送 貨物トンキロ 運輸局別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003423104","00600350","3-4","鉄道貨物輸送 貨物列車及び貨物車走行キロ 運輸局別","鉄道輸送統計調査","月次",0,"2025-06-10"
"0003439999","00600350","3-4","鉄道貨物輸送 貨物列車及び貨物車走行キロ 運輸局別","鉄道輸送統計調査","年度次",0,"2024-10-31"
"0003440020","00600350","4-2","索道旅客輸送 運輸局別・都道府県別","鉄道輸送統計調査","年度次",0,"2025-06-10"
