"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003395211","00550030","1","- 商業販売　業種別商業販売額及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395212","00550030","1","- 商業販売　業種別商業販売額及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395213","00550030","1","- 商業販売　業種別商業販売額及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395214","00550030","1","- 商業販売　業種別商業販売額及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395215","00550030","1","- 大規模卸売店販売　商品別販売額及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395216","00550030","1","- 大規模卸売店販売　商品別販売額及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395217","00550030","1","- 大規模卸売店販売　商品別販売額及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395218","00550030","1","- 大規模卸売店販売　商品別販売額及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395219","00550030","1","- 大規模卸売店販売　商品別期末商品手持額、在庫率及び前年同期末比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395220","00550030","1","- 百貨店・スーパー販売　商品別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395221","00550030","1","- 百貨店・スーパー販売　商品別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395222","00550030","1","- 百貨店・スーパー販売　商品別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395223","00550030","1","- 百貨店・スーパー販売　商品別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395224","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額　年次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395225","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額　年度次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395226","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額　四半期","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395227","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額　月次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395228","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395229","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395230","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395231","00550030","1","- 百貨店・スーパー販売　経済産業局別販売額前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395232","00550030","1","- 百貨店・スーパー販売　都道府県別販売額前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395233","00550030","1","- 百貨店・スーパー販売　都道府県別販売額前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395234","00550030","1","- 百貨店・スーパー販売　都道府県別販売額前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395235","00550030","1","- 百貨店・スーパー販売　都道府県別販売額前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395236","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額　年次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395237","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額　年度次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395238","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額　四半期","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395239","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額　月次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395240","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395241","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395242","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395243","00550030","1","- 百貨店・スーパー販売　東京特別区・政令指定都市別販売額前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395244","00550030","1","- 百貨店・スーパー販売　商品別期末商品手持額及び前年同期末比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395245","00550030","1","- 百貨店・スーパー販売　商品別在庫率及び前年同期末比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395246","00550030","1","- コンビニエンスストア販売　商品別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395247","00550030","1","- コンビニエンスストア販売　商品別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395248","00550030","1","- コンビニエンスストア販売　商品別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395249","00550030","1","- コンビニエンスストア販売　商品別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395250","00550030","1","- コンビニエンスストア販売　経済産業局別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395251","00550030","1","- コンビニエンスストア販売　経済産業局別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395252","00550030","1","- コンビニエンスストア販売　経済産業局別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395253","00550030","1","- コンビニエンスストア販売　経済産業局別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395254","00550030","1","- コンビニエンスストア販売　都道府県別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395255","00550030","1","- コンビニエンスストア販売　都道府県別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395256","00550030","1","- コンビニエンスストア販売　都道府県別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395257","00550030","1","- コンビニエンスストア販売　都道府県別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395258","00550030","1","- 家電大型専門店販売　商品別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395259","00550030","1","- 家電大型専門店販売　商品別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395260","00550030","1","- 家電大型専門店販売　商品別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395261","00550030","1","- 家電大型専門店販売　商品別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395262","00550030","1","- 家電大型専門店販売　経済産業局別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395263","00550030","1","- 家電大型専門店販売　経済産業局別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395264","00550030","1","- 家電大型専門店販売　経済産業局別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395265","00550030","1","- 家電大型専門店販売　経済産業局別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395266","00550030","1","- 家電大型専門店販売　都道府県別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395267","00550030","1","- 家電大型専門店販売　都道府県別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395268","00550030","1","- 家電大型専門店販売　都道府県別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395269","00550030","1","- 家電大型専門店販売　都道府県別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395270","00550030","1","- 家電大型専門店販売　商品別期末商品手持額、在庫率及び前年同期末比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395271","00550030","1","- ドラッグストア販売　商品別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395272","00550030","1","- ドラッグストア販売　商品別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395273","00550030","1","- ドラッグストア販売　商品別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395274","00550030","1","- ドラッグストア販売　商品別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395275","00550030","1","- ドラッグストア販売　経済産業局別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395276","00550030","1","- ドラッグストア販売　経済産業局別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395277","00550030","1","- ドラッグストア販売　経済産業局別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395278","00550030","1","- ドラッグストア販売　経済産業局別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395279","00550030","1","- ドラッグストア販売　都道府県別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395280","00550030","1","- ドラッグストア販売　都道府県別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395281","00550030","1","- ドラッグストア販売　都道府県別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395282","00550030","1","- ドラッグストア販売　都道府県別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395283","00550030","1","- ドラッグストア販売　商品別期末商品手持額、在庫率及び前年同期末比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395284","00550030","1","- ホームセンター販売　商品別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395285","00550030","1","- ホームセンター販売　商品別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395286","00550030","1","- ホームセンター販売　商品別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395287","00550030","1","- ホームセンター販売　商品別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395288","00550030","1","- ホームセンター販売　経済産業局別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395289","00550030","1","- ホームセンター販売　経済産業局別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395290","00550030","1","- ホームセンター販売　経済産業局別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395291","00550030","1","- ホームセンター販売　経済産業局別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395292","00550030","1","- ホームセンター販売　都道府県別販売額等及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395293","00550030","1","- ホームセンター販売　都道府県別販売額等及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395294","00550030","1","- ホームセンター販売　都道府県別販売額等及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395295","00550030","1","- ホームセンター販売　都道府県別販売額等及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395296","00550030","1","- ホームセンター販売　商品別期末商品手持額、在庫率及び前年同期末比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395297","00550030","1","- 参考　経済産業局別小売業販売額　年次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395298","00550030","1","- 参考　経済産業局別小売業販売額　年度次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395299","00550030","1","- 参考　経済産業局別小売業販売額　四半期","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003395300","00550030","1","- 参考　経済産業局別小売業販売額　月次","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003459858","00550030","2","- 商業販売　業種別商業販売額及び前年比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003459859","00550030","2","- 商業販売　業種別商業販売額及び前年度比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003459860","00550030","2","- 商業販売　業種別商業販売額及び前年同期比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003459861","00550030","2","- 商業販売　業種別商業販売額及び前年同月比増減率","商業動態統計調査","確報",NA,"月次",,"2025-01-22"
"0003138646","00550030",NA,"［第2部　大規模卸売店販売］　第１表　商品別販売額及び前年（度、同期、同月）比増減率","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138647","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 北海道","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138648","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 秋田県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138649","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 栃木県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138650","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 東京都","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138651","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 石川県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138652","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 岐阜県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138668","00550030",NA,"［第1部　商業販売］　第１表　業種別商業販売額及び前年（度、同期、同月）比増減率","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138669","00550030",NA,"［第3部　大型小売店販売］　第１表　業態別、商品別販売額等及び前年（度、同期、同月）比増減率","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138670","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 宮城県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138671","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 茨城県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138672","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 千葉県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138720","00550030",NA,"［第2部　大規模卸売店販売］　第３表　商品別期末商品在庫率及び前年同期末比増減率","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138721","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 岩手県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138722","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 福島県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138723","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 埼玉県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138724","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 新潟県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138725","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 山梨県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138726","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 愛知県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138727","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 大阪府","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138728","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 鳥取県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138729","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 山口県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138730","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 愛媛県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138731","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 長崎県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138732","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 鹿児島県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138736","00550030",NA,"［第2部　大規模卸売店販売］　第２表　商品別期末商品手持額及び前年同期末比増減率","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138737","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 青森県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
"0003138738","00550030",NA,"［第3部　大型小売店販売］　第２表　都道府県別、業態別、商品別販売額等 山形県","商業動態統計調査","参考表（年報）","平成25年 年報","年次",,"2025-01-22"
