"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003366175","00500501","2","統計表 野菜の品目別、年次別生産状況（総括表）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366176","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 あさつき","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366177","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 うど","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366178","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 うるい","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366179","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 エシャレット","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366180","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 オクラ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366181","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 かいわれだいこん","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366182","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 かんぴょう","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366183","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 クレソン","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366184","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 くわい","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366185","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 しそ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366186","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 食用ぎく","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366187","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 食用ゆり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366188","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 しろうり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366189","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 ズッキーニ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366190","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 スナップエンドウ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366191","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 せり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366192","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 タアサイ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366193","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 たで","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366194","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 つけな(みずなを除く）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366195","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 つるむらさき","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366196","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 とうがらし（辛味）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366197","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 とうがん","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366198","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 なばな（主として花を食するもの）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366199","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 なばな（主として葉茎を食するもの）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366200","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 にがうり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366201","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 パクチョイ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366202","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 葉しょうが","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366203","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 パセリ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366204","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 花みょうが","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366205","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 パプリカ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366206","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 非結球レタス","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366207","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 マッシュルーム","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366208","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 実えんどう","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366209","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 ミニかぼちゃ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366210","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 芽キャベツ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366211","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 モロヘイヤ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366212","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 山ごぼう（栽培）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366213","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 らっきょう","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366214","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 ラディッシュ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366215","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 ルッコラ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366216","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 わけぎ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366217","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 わさびだいこん","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366218","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 あさつき","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366219","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 うど","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366220","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 うるい","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366221","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 エシャレット","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366222","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 オクラ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366223","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 かいわれだいこん","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366224","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 かんぴょう","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366225","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 クレソン","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366226","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 くわい","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366227","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 しそ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366228","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 食用ぎく","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366229","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 食用ゆり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366230","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 しろうり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366231","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 ズッキーニ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366232","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 スナップエンドウ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366233","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 せり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366234","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 タアサイ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366235","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 たで","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366236","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 つけな(みずなを除く)","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366237","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 つるむらさき","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366238","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 とうがらし(辛味)","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366239","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 とうがん","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366240","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 なばな（主として花を食するもの）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366241","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 なばな（主として葉茎を食するもの）","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366242","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 にがうり","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366243","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 パクチョイ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366244","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 葉しょうが","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366245","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 パセリ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366246","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 花みょうが","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366247","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 パプリカ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366248","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 非結球レタス","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366249","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 マッシュルーム","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366250","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 実えんどう","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366251","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 ミニかぼちゃ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366252","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 芽キャベツ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366253","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 モロヘイヤ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366254","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 山ごぼう(栽培)","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366255","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 らっきょう","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366256","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 ラディッシュ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366257","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 ルッコラ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366258","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 わけぎ","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366259","00500501","3-2","統計表 野菜の品目別、都道府県別生産状況  主要品種主要市町村 わさびだいこん","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","年次","201201-201212","2024-07-08"
"0003366091","00500501","2","統計表 野菜の品目別、年次別生産状況（総括表）","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366092","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 あさつき","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366093","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 うど","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366094","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 うるい","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366095","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 エシャレット","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366096","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 オクラ","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366097","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 かいわれだいこん","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366098","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 かんぴょう","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366099","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 クレソン","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366100","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 くわい","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366101","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 しそ","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366102","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 食用ぎく","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366103","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 食用ゆり","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366104","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 しろうり","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
"0003366105","00500501","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積、収穫量等 ズッキーニ","地域特産野菜生産状況調査","確報","平成26年産地域特産野菜生産状況","年次","201401-201412","2024-07-08"
