"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003191320","00130001","第１表　刑法犯　罪種別　認知・検挙件数・検挙人員","犯罪統計","年次","201601-201612","2017-12-11"
"0003191321","00130001","第５表　重要犯罪・重要窃盗犯　認知・検挙件数・検挙人員　対前年比較","犯罪統計","年次","201601-201612","2017-12-11"
"0003191340","00130001","第１表　刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較","犯罪統計","年次","201601-201612","2017-12-11"
"0003191360","00130001","第５表　重要犯罪・重要窃盗犯　認知・検挙件数・検挙人員","犯罪統計","年次","201601-201612","2017-12-11"
"0003191380","00130001","第２表　窃盗　手口別　認知・検挙件数・検挙人員","犯罪統計","年次","201601-201612","2017-12-11"
"0003191381","00130001","第２表　窃盗　手口別　認知・検挙件数・検挙人員　対前年比較","犯罪統計","年次","201601-201612","2017-12-11"
"0003194930","00130001","第４表　窃盗犯総数　都道府県別　認知・検挙件数・検挙人員　対前年比較","犯罪統計","年次","201601-201612","2023-02-10"
"0003194949","00130001","第４表　窃盗犯総数　都道府県別　認知・検挙件数・検挙人員","犯罪統計","年次","201601-201612","2023-02-10"
"0003194968","00130001","第３表　刑法犯総数  都道府県別　認知・検挙件数・検挙人員　対前年比較","犯罪統計","年次","201601-201612","2023-02-10"
"0003194969","00130001","第６表　重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較","犯罪統計","年次","201601-201612","2023-02-10"
"0003195002","00130001","第３表　刑法犯総数　都道府県別　認知・検挙件数・検挙人員","犯罪統計","年次","201601-201612","2023-02-10"
"0003195003","00130001","第６表　重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員","犯罪統計","年次","201601-201612","2023-02-10"
