"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003321440","00500228","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","水産物流通調査","確報","平成29年水産加工統計調査",NA,"年次","201701-201712","2021-11-11"
"0003321441","00500228","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","水産物流通調査","確報","平成29年水産加工統計調査",NA,"年次","201701-201712","2021-11-11"
"0003321442","00500228","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（平成29年） 食用加工品","水産物流通調査","確報","平成29年水産加工統計調査",NA,"年次","201701-201712","2021-11-11"
"0003321443","00500228","2-2","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（平成29年） 生鮮冷凍水産物","水産物流通調査","確報","平成29年水産加工統計調査",NA,"年次","201701-201712","2021-11-11"
"0003269700","00500228","1-1","統計表 水産加工品の加工種類別品目別生産量（全国）　食用加工品 食用加工品","水産物流通調査","確報",NA,NA,"年次","201601-201612","2021-11-11"
"0003261910","00500228","1-2","統計表 水産加工品の加工種類別品目別生産量（全国）　生鮮冷凍水産物 生鮮冷凍水産物","水産物流通調査","確報",NA,NA,"年次","201601-201612","2021-11-11"
"0003269701","00500228","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）　食用加工品 食用加工品","水産物流通調査","確報",NA,NA,"年次","201601-201612","2021-11-11"
"0003261912","00500228","2-2","統計表 水産加工品の加工種類別品目別生産量（都道府県別）　生鮮冷凍水産物 生鮮冷凍水産物","水産物流通調査","確報",NA,NA,"年次","201601-201612","2021-11-11"
"0001871344","00500228","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","水産物流通調査","確報","令和元年水産加工統計調査",NA,"年次","201901-201912","2021-11-11"
"0001871345","00500228","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","水産物流通調査","確報","令和元年水産加工統計調査",NA,"年次","201901-201912","2021-11-11"
"0001871346","00500228","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和元年） 食用加工品","水産物流通調査","確報","令和元年水産加工統計調査",NA,"年次","201901-201912","2021-11-11"
"0001871347","00500228","2-2","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和元年） 生鮮冷凍水産物","水産物流通調査","確報","令和元年水産加工統計調査",NA,"年次","201901-201912","2021-11-11"
"0001901009","00500228","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","水産物流通調査","確報","令和２年水産加工統計調査",NA,"年次","202001-202012","2021-11-30"
"0001901010","00500228","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","水産物流通調査","確報","令和２年水産加工統計調査",NA,"年次","202001-202012","2021-11-30"
"0001901011","00500228","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和２年） 食用加工品","水産物流通調査","確報","令和２年水産加工統計調査",NA,"年次","202001-202012","2021-11-30"
