"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003363955","00501005","1","国有林野の現況等 機能類型別，林種別面積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003363961","00501005","1","国有林野の現況等 自然公園","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003363963","00501005","1","国有林野の現況等 緑の回廊","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003364597","00501005","1","国有林野の現況等 管理区域及び面積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003365548","00501005","1","国有林野の現況等 国有林野種目別，要存置，不要存置別面積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365549","00501005","1","国有林野の現況等 林種別，針広別材積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365570","00501005","1","国有林野の現況等 樹種別材積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365571","00501005","1","国有林野の現況等 林種別，針広別成長量","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365572","00501005","1","国有林野の現況等 法指定地域","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365573","00501005","1","国有林野の現況等 保安林","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365574","00501005","1","国有林野の現況等 保護林","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365575","00501005","1","国有林野の現況等 レクリエーションの森","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0004024040","00501005","1","国有林野の現況等 保安林","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003363988","00501005","10","公有林野等官行造林の部 官行造林伐採面積及び材積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003365506","00501005","10","公有林野等官行造林の部 官行造林の立木被害","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003365588","00501005","10","公有林野等官行造林の部 官行造林地契約面積の推移","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365589","00501005","10","公有林野等官行造林の部 官行造林地の材種別面積，材積，成長量","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365590","00501005","10","公有林野等官行造林の部 官行造林樹種別材積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365591","00501005","10","公有林野等官行造林の部 官行造林地の保安林","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365592","00501005","10","公有林野等官行造林の部 官行造林樹種別伐採量","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0004024041","00501005","10","公有林野等官行造林の部 官行造林地の保安林","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003365576","00501005","2","地域振興 国有林野の地元利用","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365577","00501005","2","地域振興 分収造林","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365578","00501005","2","地域振興 共用林野","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365579","00501005","2","地域振興 国有林野貸付使用地","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003365580","00501005","2","地域振興 市町村交付金","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003363970","00501005","3","収穫 伐採方法別，伐採面積及び材積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003363971","00501005","3","収穫 立製内別，伐採面積及び材積","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365581","00501005","3","収穫 樹種別伐採量","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365582","00501005","4","販売及び製品生産 素材の生産及び販売","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365583","00501005","4","販売及び製品生産 素材の受払","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003364931","00501005","5","造林 樹種別新植面積及び数量","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365584","00501005","5","造林 国有林造林事業","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365585","00501005","6","治山 国有林治山事業","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365586","00501005","6","治山 民有林直轄治山事業","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003364950","00501005","7","林道及び貯木場 林道事業","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003365587","00501005","7","林道及び貯木場 林道及び貯木場の現況","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003364955","00501005","8","被害 国有林野の立木被害","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003363982","00501005","9","組織及び人員 森林管理局位置，森林管理署等","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2023-02-24"
"0003365507","00501005","9","組織及び人員 職員","国有林野事業統計","確報","第67次　平成27年国有林野事業統計書（平成26年度）","年次","201501-201512","2025-04-08"
"0003363993","00501005","1","国有林野の現況等 機能類型別，林種別面積","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003363999","00501005","1","国有林野の現況等 自然公園","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0003364001","00501005","1","国有林野の現況等 緑の回廊","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0003365601","00501005","1","国有林野の現況等 管理区域及び面積","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0003365602","00501005","1","国有林野の現況等 国有林野種目別，要存置，不要存置別面積","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365603","00501005","1","国有林野の現況等 林種別，針広別材積","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365604","00501005","1","国有林野の現況等 樹種別材積","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365605","00501005","1","国有林野の現況等 林種別，針広別成長量","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365606","00501005","1","国有林野の現況等 法指定地域","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365607","00501005","1","国有林野の現況等 保安林","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365608","00501005","1","国有林野の現況等 保護林","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0003365609","00501005","1","国有林野の現況等 レクリエーションの森","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0004024044","00501005","1","国有林野の現況等 保安林","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0003364026","00501005","10","公有林野等官行造林の部 官行造林伐採面積及び材積","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0003365803","00501005","10","公有林野等官行造林の部 官行造林地契約面積の推移","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365804","00501005","10","公有林野等官行造林の部 官行造林地の林種別面積，材積，成長量","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
"0003365805","00501005","10","公有林野等官行造林の部 官行造林樹種別材積","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365806","00501005","10","公有林野等官行造林の部 官行造林地の保安林","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2023-02-24"
"0003365807","00501005","10","公有林野等官行造林の部 官行造林樹種別伐採量","国有林野事業統計","確報","第68次　平成28年国有林野事業統計書（平成27年度）","年次","201601-201612","2025-04-08"
