"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003458439","00600260","月別　《全国》出来高","建設総合統計","月別","月次",,"2025-05-20"
"0003458440","00600260","月別　《全国》手持ち工事高","建設総合統計","月別","月次",,"2025-05-20"
"0003458459","00600260","月別　《地域別》出来高","建設総合統計","月別","月次",,"2025-05-20"
"0003458461","00600260","月別　《地域別》手持ち工事高","建設総合統計","月別","月次",,"2025-05-20"
"0003458462","00600260","月別　《公共表》地域別・発注者別　出来高","建設総合統計","月別","月次",,"2025-05-20"
"0003458481","00600260","年別　出来高（年計）","建設総合統計","年・年度別","年次",,"2025-05-20"
"0003458482","00600260","年度別　出来高（年度計）","建設総合統計","年・年度別","年度次",,"2025-05-20"
"0003458483","00600260","年度報　《表-1,20》総合表　地域別・種類別－年度計工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458498","00600260","年度報　《表-2》総合表　都道府県別・種類別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458499","00600260","年度報　《表-3,21-1》公共表　地域別・工事種類別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458500","00600260","年度報　《表-5》公共表　発注者別・工事種類別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458501","00600260","年度報　《表-6》公共表　地域別・発注者別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458502","00600260","年度報　《表-8》建築表　建築主別・用途別・構造別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458503","00600260","年度報　《表-9》建築表　地域別・用途別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458504","00600260","年度報　《表-11》建築表　地域別・構造別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458505","00600260","年度報　《表-13》建築表　地域別・建築主別・使途別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458506","00600260","年度報　《表-15》民間土木表　地域別・発注者別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458507","00600260","年度報　《表-17》民間土木表　発注者別・工事種類別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458508","00600260","年度報　《表-18》民間土木表　地域別・工事種類別－月別工事費","建設総合統計","年度報","月次",,"2025-04-18"
"0003458509","00600260","年度報　《表-4》公共表　都道府県別・工事種類別－年度計工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458510","00600260","年度報　《表-7》公共表　都道府県別・発注者別－年度計工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458538","00600260","年度報　《表-10》建築表　都道府県別・用途別－年度計工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458539","00600260","年度報　《表-12》建築表　都道府県別・構造別－年度計工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458558","00600260","年度報　《表-14》建築表　都道府県別・建築主別・使途別－年度計工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458559","00600260","年度報　《表-16》民間土木表　都道府県別・発注者別－年度計工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458560","00600260","年度報　《表-19》民間土木表　都道府県別・工事種類別－年度計工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458561","00600260","年度報　《表-21》総合表　都道府県別・種類別－年度別工事費","建設総合統計","年度報","年度次",,"2024-07-22"
"0003458562","00600260","年度報　《表-22,23》総合表　地域別・種類別－年度別工事費","建設総合統計","年度報","年度次",,"2024-07-22"
