"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003294612","00500247","1-2","総括表 全国農業地域・都道府県別（農業）　農業生産関連事業の従事者数","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-03-13"
"0003294615","00500247","1-3","総括表 都道府県別（漁業）　漁業生産関連事業の従事者数","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-03-13"
"0003295171","00500247","6-2","農家レストラン（農業経営体・農業協同組合等） 従事者数規模別　１事業体当たりの農業経営体・農協等別従事者数、年間雇用労賃、年間仕入金額及び年間売上金額","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-03-13"
"0003297660","00500247","6-2","農家レストラン（農業経営体・農業協同組合等） 従事者数規模別　農業経営体・農協等別事業体数、従事者数、年間雇用労賃、年間仕入金額及び年間売上金額","６次産業化総合調査","確報","平成25年度６次産業化総合調査報告","年度次","201304-201403","2019-03-13"
"0003216320","00500247","1-1","総括表 農業・漁業生産関連事業別 年間販売金額及び年間販売金額規模別事業体数割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216321","00500247","1-1","総括表 農業・漁業生産関連事業別 従事者数及び雇用者の男女別割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216322","00500247","1-1","総括表 農業・漁業生産関連事業別 産地別年間仕入金額（農産物直売所は販売金額）","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216323","00500247","1-2","総括表 全国農業地域・都道府県別（農業） 農業生産関連事業の年間販売金額及び事業体数","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216324","00500247","1-2","総括表 全国農業地域・都道府県別（農業） 農業生産関連事業の従事者数","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216325","00500247","1-3","総括表 都道府県別（漁業） 漁業生産関連事業の年間販売金額及び事業体数","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216326","00500247","1-3","総括表 都道府県別（漁業） 漁業生産関連事業の従事者数","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216327","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 年間販売金額及び年間販売金額規模別事業体数割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216328","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 販売先別事業体数（複数回答）","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216329","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 販売先別年間販売金額","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216330","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 販売地域別年間販売金額","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-03-01"
"0003216331","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 販売先別販売地域別年間販売金額","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-03-01"
"0003216332","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 主な加工品目別年間販売金額","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-03-01"
"0003216333","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 農産物の加工における従事者数及び男女別・年齢別従事者数割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216334","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 １事業体当たり従事者数","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216335","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 農産物の加工における年間雇用労賃及び年間雇用労賃規模別事業体数割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216337","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 農産物の加工における農業経営にも従事した雇用者数及び男女別・年齢別雇用者数割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216338","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 農産物の加工の運営に係る経営方針に参画している従事者数及び男女別従事者数割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216339","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 年間仕入金額及び年間仕入金額規模別事業体数割合","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216340","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 品目別年間仕入金額","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216341","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 産地別年間仕入金額","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
"0003216342","00500247","2-1","農産物の加工（農業経営体・農協等） 運営主体別 品目別産地別年間仕入金額","６次産業化総合調査","確報","平成26年度６次産業化総合調査報告","年度次","201404-201503","2018-02-28"
