"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003411424","00550510","1","第1表　立地件数　(業種別)","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411425","00550510","1","第2、3表　立地件数　(地域別)　年次","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411426","00550510","1","第2、3表　立地件数　(都道府県別)　年次","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411427","00550510","1","第2、3表　立地件数　(地域別)　半期","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411428","00550510","1","第2、3表　立地件数　(都道府県別)　半期","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411429","00550510","1","第4表　敷地面積　(業種別)","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411430","00550510","1","第5、6表　敷地面積　(地域別)　年次","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411431","00550510","1","第5、6表　敷地面積　(都道府県別)　年次","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411432","00550510","1","第5、6表　敷地面積　(地域別)　半期","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411433","00550510","1","第5、6表　敷地面積　(都道府県別)　半期","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411434","00550510","1","第7-1表　工業団地内立地件数　(業種別)","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411435","00550510","1","第7-2表　工業団地内敷地面積　(業種別)","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411436","00550510","1","第7-3、7-5表　工業団地内立地件数　(地域別)　年次","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411437","00550510","1","第7-3、7-5表　工業団地内立地件数　(都道府県別)　年次","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411438","00550510","1","第7-3、7-5表　工業団地内立地件数　(地域別)　半期","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411439","00550510","1","第7-3、7-5表　工業団地内立地件数　(都道府県別)　半期","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411440","00550510","1","第7-4、7-6表　工業団地内敷地面積　(地域別)","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
"0003411441","00550510","1","第7-4、7-6表　工業団地内敷地面積　(都道府県別)","工場立地動向調査","確報","年次","201701-201712","2022-02-18"
