"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004017649","00450241","1","港湾別、事業の種類別事業所数（複数回答）","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017650","00450241","10","港湾別、定年年齢階級別事業所数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017651","00450241","11","事業所規模別、定年年齢階級別事業所数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017652","00450241","12","港湾別、退職金制度の有無別事業所の割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017653","00450241","13","事業所規模別、退職金制度の有無別事業所の割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017654","00450241","14","港湾別、継続雇用制度導入の割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017655","00450241","15","事業所規模別、継続雇用制度導入の割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017656","00450241","16","港湾別、学歴別定年退職金額","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017657","00450241","17","事業所規模別、学歴別定年退職金額","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017658","00450241","18","港湾別、勤続年数階級別労働者割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017659","00450241","19","事業所規模別、勤続年数階級別労働者割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017660","00450241","2","港湾別、規模別事業所数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017661","00450241","20","港湾別、賃金形態別労働者割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017662","00450241","21","事業所規模別、賃金形態別労働者割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017663","00450241","22","港湾別、不就労日の通常賃金日額に対する割合階級別労働者数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017664","00450241","23","事業所規模別、不就労日の通常賃金日額に対する割合階級別労働者数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017665","00450241","24","港湾別、職種別、労働者数・派遣労働者数・日雇労働者数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017666","00450241","25","事業所規模別、職種別、労働者数・派遣労働者数・日雇労働者数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017667","00450241","26","港湾別、週所定労働時間階級別事業所数、平均労働時間、平均休日数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017668","00450241","27","事業所規模別、週所定労働時間階級別事業所数、平均労働時間、平均休日数","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017669","00450241","28","港湾別、週休２日制の導入の有無及び週休２日別形態別事業所割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017670","00450241","29","事業所規模別、週休２日制の導入の有無及び週休２日別形態別事業所割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017671","00450241","3","港湾別、港湾労働者派遣事業の許可取得の有無","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
"0004017672","00450241","30","港湾別、交代制勤務の導入割合","平成３０年港湾運送事業雇用実態調査","年度次","201804-201903","2024-09-02"
