"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003398440","00552020","第3章　国際出願関係統計 １５．指定国別国際登録出願（商標）件数表（本国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398441","00552020","【更新終了】第3章　国際出願関係統計（平成31年［2019年］まで） １６．類別国際登録出願区分（商標）件数表（本国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398442","00552020","第3章　国際出願関係統計 １６．国際商標登録出願に係る件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398443","00552020","第3章　国際出願関係統計 １７．日本を指定国とする本国官庁別国際商標登録出願件数表（指定国官庁：指定通報件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398444","00552020","第3章　国際出願関係統計 １８．類別国際商標登録出願区分件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398445","00552020","第3章　国際出願関係統計 １９．日本を指定国とした国際商標登録出願に係る本国官庁別登録件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398446","00552020","第3章　国際出願関係統計 ２０．日本を指定国とした国際商標登録出願に係る出願種別登録件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398447","00552020","第3章　国際出願関係統計 ２１．分類別国際商標登録区分件数表（指定国官庁）","特許行政年次報告書","年次",0,"2024-11-28"
"0003398456","00552020","第4章　主要国・地域・機関に関する統計 ３．主要国・地域・機関の外国人登録の内訳表　（1）日本における国籍・地域別登録件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398460","00552020","付録２　予算・機構・定員関係資料 １．歳入歳出累年表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398461","00552020","付録２　予算・機構・定員関係資料 ２．歳入予算に関する統計表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398462","00552020","付録２　予算・機構・定員関係資料 ３．歳出予算事項に関する統計表　（1）事項別歳出予算","特許行政年次報告書","年次",0,"2024-11-28"
"0003398463","00552020","付録２　予算・機構・定員関係資料 ４．特許庁定員推移表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398464","00552020","付録３　その他統計・資料 ３．弁理士登録状況　（1）弁理士登録及び登録抹消人数累計表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398465","00552020","付録３　その他統計・資料 ３．弁理士登録状況　（2）都道府県別弁理士登録人数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003398467","00552020","付録３　その他統計・資料 ３．弁理士登録状況　（3）弁理士試験実施概況　弁理士試験受験志願者及び合格者数","特許行政年次報告書","年次",0,"2024-11-28"
"0003404329","00552020","第4章　主要国・地域・機関に関する統計 ４．書面による優先権証明書発行件数表　（1）特許・実用新案、（2）意匠、（3）商標","特許行政年次報告書","年次",0,"2024-11-28"
"0003404514","00552020","第4章　主要国・地域・機関に関する統計 ２．主要国・地域・機関の外国人出願の内訳表　（1）日本における国籍・地域別出願件数表　国籍・地域別出願件数","特許行政年次報告書","年次",0,"2024-11-28"
"0003404515","00552020","第4章　主要国・地域・機関に関する統計 ２．主要国・地域・機関の外国人出願の内訳表　（1）日本における国籍・地域別出願件数表　外国人・内国人出願件数","特許行政年次報告書","年次",0,"2024-11-28"
"0003404705","00552020","第2章　主要統計 ４．内外国人別統計表　（1）特許、（2）実用新案、（3）意匠、（4）商標","特許行政年次報告書","年次",0,"2024-11-28"
"0003412895","00552020","第1章　総括統計 １．特許（出願、審査請求、ファーストアクション、特許査定及び登録の件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003412896","00552020","第1章　総括統計 ５．商標（出願、ファーストアクション、登録査定及び登録の件数）","特許行政年次報告書","年次",0,"2024-11-28"
"0003412897","00552020","第2章　主要統計 ５．分類別統計表　（7）商標（出願）、（8）商標（登録）","特許行政年次報告書","年次",0,"2024-11-28"
"0003412898","00552020","第2章　主要統計 ６．出願種別出願・登録件数表　（1）出願","特許行政年次報告書","年次",0,"2024-11-28"
"0003412899","00552020","第2章　主要統計 ６．出願種別出願・登録件数表　（2）登録","特許行政年次報告書","年次",0,"2024-11-28"
"0003412900","00552020","第2章　主要統計 ８．出願人別（個人・法人・官庁別）出願件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003412902","00552020","第2章　主要統計 １９．早期審査・早期審理　（1）審査、（2）審判　申出件数","特許行政年次報告書","年次",0,"2024-11-28"
"0003412903","00552020","第2章　主要統計 ２１．登録した権利の変動に関する統計表　（1）特許権、（2）実用新案権、（3）意匠権、（4）商標権","特許行政年次報告書","年次",0,"2024-11-28"
"0003412933","00552020","第2章　主要統計 １０．代理人有無別出願件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0003413017","00552020","第2章　主要統計 ２２．各年末における登録の最終番号表","特許行政年次報告書","年次",0,"2024-11-28"
"0003413018","00552020","付録３　その他統計・資料 ３．弁理士登録状況　（3）弁理士試験実施概況　弁理士試験概況","特許行政年次報告書","年次",0,"2024-11-28"
"0003447238","00552020","第4章　主要国・地域・機関に関する統計 ５．海外特許庁／機関への優先権書類の電子的送付件数（特許・実用新案・意匠）　（1）二庁間での優先権書類の電子的交換（二庁間PDX）を利用した優先権書類の送付件数、（2）世界知的所有権機関のデジタルアクセスサービス（DAS）を利用した優先権書類の送付件数","特許行政年次報告書","年次",0,"2024-11-28"
"0004012500","00552020","第2章　主要統計 ９．出願人別（単独・共同）出願件数表","特許行政年次報告書","年次",0,"2024-11-28"
"0004012501","00552020","第2章　主要統計 ２０．現存権利関係統計表　（3）単独及び共有に係る現存権利件数表","特許行政年次報告書","年次",0,"2024-11-28"
