"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003014475","00550020","1-01","データ(平成20年4月3日公表) 産業分類細分類別の事業所数（従業者規模別）、従業者数、年間商品販売額、その他の収入額、商品手持額及び売場面積","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014476","00550020","1-02","データ(平成20年4月3日公表) 産業分類細分類別の法人・個人別、男女別の就業者数、従業者数（内訳別）、臨時雇用者数、従業者・臨時雇用者のうち他への派遣従業者数、他からの派遣従業者数及びパート・アルバイトなどの８時間換算雇用者数","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014477","00550020","1-03","データ(平成20年4月3日公表) 都道府県別、東京特別区・政令指定都市別、産業分類小分類別の事業所数、従業者数、年間商品販売額、商品手持額及び売場面積","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014478","00550020","1-04","データ(平成20年4月3日公表) 産業分類中分類別、従業者規模別、年次別の事業所数（法人・個人別）、増減率","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014479","00550020","1-05","データ(平成20年4月3日公表) 産業分類小分類別、年次別の事業所数（法人・個人別）及び増減率","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014480","00550020","1-06","データ(平成20年4月3日公表) 産業分類小分類別、年次別の従業者数（法人・個人別）及び増減率","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014481","00550020","1-07","データ(平成20年4月3日公表) 産業分類小分類別、年次別の年間商品販売額（法人・個人別）及び増減率","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014482","00550020","1-08","データ(平成20年4月3日公表) 産業分類小分類別、年次別の１事業所当たり年間商品販売額、就業者１人当たり年間商品販売額、従業者１人当たり年間商品販売額及び売場面積１平方メートル当たり年間商品販売額及び増減率","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014483","00550020","1-09","データ(平成20年4月3日公表) 小売業の産業分類小分類別、商品販売形態別の事業所数、年間商品販売額及び構成比","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014484","00550020","1-10","データ(平成20年4月3日公表) 都道府県別、産業分類小分類別の事業所数、従業者数、年間商品販売額、構成比及び増減率","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014485","00550020","1-11","データ(平成20年4月3日公表) 小売業の産業分類小分類別、来客用駐車場の有無別の事業所数、従業者数、年間商品販売額及び収容台数","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014486","00550020","1-12","データ(平成20年4月3日公表) 小売業の業態別、事業所数（従業者規模別）、従業者数、臨時雇用者数、従業者・臨時雇用者のうち他への派遣従業者数、他からの派遣従業者数、パート・アルバイトなどの８時間換算雇用者数、年間商品販売額、その他の収入額、商品手持額及び売場面積","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
"0003014487","00550020","1-13","データ(平成20年4月3日公表) 小売業の業態別、年次別の事業所数、従業者数、年間商品販売額、売場面積、構成比及び増減率","商業統計調査","統計表一覧","平成19年商業統計","速報",NA,"-","200701-200712","2010-03-22"
