"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003201460","00500244","1","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲うるち米・もち米計","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201480","00500244","1","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲うるち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201500","00500244","1","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲もち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201461","00500244","2","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別） 水稲うるち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201481","00500244","2","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別） 水稲もち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201520","00500244","2","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別） 水稲うるち米・もち米計","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201501","00500244","3","生産者の米穀在庫等調査 販売農家1戸当たり販売先別販売量・割合(月別） 水稲うるち米販売量","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201521","00500244","3","生産者の米穀在庫等調査 販売農家1戸当たり販売先別販売量・割合(月別） 水稲うるち米販売割合","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201462","00500244","4","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(水稲作付面積規模別） 水稲うるち米・もち米計","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201482","00500244","4","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(水稲作付面積規模別） 水稲うるち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201502","00500244","4","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(水稲作付面積規模別） 水稲もち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201463","00500244","5","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(都道府県別） 水稲うるち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201483","00500244","5","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(都道府県別） 水稲もち米","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201522","00500244","5","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(都道府県別） 水稲うるち米・もち米計","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201503","00500244","6","生産者の米穀在庫等調査 販売農家１戸当たり月別月末在庫量(都道府県別) 月別月末在庫量","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201523","00500244","6","生産者の米穀在庫等調査 販売農家１戸当たり月別月末在庫量(都道府県別) 月別月末在庫量（精米を除く）","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003201464","00500244","7","生産者の米穀在庫等調査 月末在庫量階層別にみた販売農家数割合","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果",NA,"年度次","201504-201603","2017-09-22"
"0003321501","00500244","1-1","生産者の米穀在庫等調査 農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲うるち米・水稲もち米計","生産者の米穀在庫等調査","確報","平成28年度生産者の米穀在庫等調査結果",NA,"年度次","201604-201703","2019-03-29"
"0003321502","00500244","1-2","生産者の米穀在庫等調査 農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲うるち米","生産者の米穀在庫等調査","確報","平成28年度生産者の米穀在庫等調査結果",NA,"年度次","201604-201703","2019-03-29"
"0003321503","00500244","1-3","生産者の米穀在庫等調査 農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲もち米","生産者の米穀在庫等調査","確報","平成28年度生産者の米穀在庫等調査結果",NA,"年度次","201604-201703","2019-03-29"
