"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003125915","00600340","1","総括表 内航船舶輸送統計総括表","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003422893","00600340","1","推移表 内航船舶輸送統計推移表","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126559","00600340","10","流動表 産業圏間コンテナ流動表（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126568","00600340","10","燃料消費量等 用途別、油種別燃料消費量","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126456","00600340","11","流動表 都道府県間流動表（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126563","00600340","11","付表 内航船舶輸送統計推移表 年度次","内航船舶輸送統計調査","月次",0,"2020-12-29"
"0003422274","00600340","11","付表 内航船舶輸送統計推移表 月次","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126368","00600340","12","貨物輸送 品目別輸送量（自家用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126390","00600340","13","燃料消費量 用途別、油種別燃料消費量","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126399","00600340","14","燃料消費量 船型別船質別油種別燃料消費量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003423033","00600340","15","燃料消費量 貨物船用途別油別燃料消費量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003125916","00600340","2","貨物輸送 大型鋼船、品目別、用途別、 トン数階級別輸送実績","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126396","00600340","2-1","総括表 内航船舶輸送統計総括表（品目別輸送量）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003125896","00600340","3","貨物輸送 大型鋼船、品目別、専用船用途別輸送実績","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126366","00600340","3","貨物輸送 品目別輸送量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126388","00600340","4","貨物輸送 品目別用途別トン数階級別輸送量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126593","00600340","4","貨物輸送 小型鋼船及び木船、品目別、用途別、トン階級別輸送実績","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126397","00600340","5","貨物輸送 大型鋼船品目別専用船等用途別輸送量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126624","00600340","5","貨物輸送 小型鋼船及び木船、コンテナ品目別、トン階級別輸送実績","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126350","00600340","6","貨物輸送 小型鋼船及び木船コンテナ品目別トン階級別輸送量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126367","00600340","7","貨物輸送 船質別用途別輸送距離帯別輸送量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126600","00600340","7","流動 産業圏間流動表","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126389","00600340","8","貨物輸送 主要品目別輸送距離帯別輸送量（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126569","00600340","8","流動 産業圏間コンテナ流動表","内航船舶輸送統計調査","月次",0,"2025-05-23"
"0003126398","00600340","9","流動表 主要品目別産業圏間流動表（営業用）","内航船舶輸送統計調査","年度次",0,"2024-06-24"
"0003126625","00600340","9","燃料消費量等 船型別、船質別、油種別燃料消費量","内航船舶輸送統計調査","月次",0,"2025-05-23"
