"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003032532","00200552","00100","経営組織（２区分）別全事業所数，男女別従業者数及び1平方km当たり事業所数及び従業者数－全国，都道府県，市区町村，14大都市圏","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032533","00200552","00201","産業（小分類），経営組織（５区分）別全事業所数及び男女別従業者数－全国，都道府県","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032534","00200552","00202","産業（小分類）別全事業所数，従業者数及び１事業所当たり従業者数－全国，都道府県","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032536","00200552","00401","産業（小分類），経営組織（２区分）別全事業所数－全国","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032537","00200552","00402","産業（小分類），経営組織（２区分）※，従業上の地位（６区分），男女別従業者数－全国 ※総数，民営事業所","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032538","00200552","00403","産業（小分類），経営組織（２区分）※，従業上の地位（６区分），男女別従業者数－全国 ※国・地方公共団体","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032539","00200552","00501","産業（中分類），経営組織（12区分）別全事業所数－全国，都道府県，19大都市","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032540","00200552","00502","産業（中分類），経営組織（12区分）※，従業上の地位（６区分），男女別従業者数－全国，都道府県，19大都市 ※総数，民営事業所","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032541","00200552","00503","産業（中分類），経営組織（12区分）※，従業上の地位（６区分），男女別従業者数－全国，都道府県，19大都市 ※国・地方公共団体","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
"0003032542","00200552","00601","経営組織（６区分）別全事業所数及び男女別従業者数－全国，都道府県，市区町村，14大都市圏","平成21年経済センサス-基礎調査","事業所に関する集計",NA,NA,NA,"-",,"2025-05-30"
