"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003263853","00500235","1","統計表 全国の主要都市の並列販売店舗における生鮮野菜の品目別価格及び価格比　国産標準品と国産有機栽培品 国産標準品と国産有機栽培品","生鮮野菜価格動向調査","確報","年次","201601-201612","2019-01-12"
"0003263854","00500235","1","統計表 全国の主要都市の並列販売店舗における生鮮野菜の品目別価格及び価格比　国産標準品と国産特別栽培品 国産標準品と国産特別栽培品","生鮮野菜価格動向調査","確報","年次","201601-201612","2019-01-12"
"0003263855","00500235","1","統計表 全国の主要都市の並列販売店舗における生鮮野菜の品目別価格及び価格比　国産標準品と輸入品 国産標準品と輸入品","生鮮野菜価格動向調査","確報","年次","201601-201612","2019-01-12"
"0003269440","00500235","2","統計表 全国の主要都市における生鮮野菜の販売区分別品目別価格及び店舗数","生鮮野菜価格動向調査","確報","年次","201601-201612","2019-01-12"
