"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0001883156","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 合計(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883157","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 だいこん(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883158","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 かぶ(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883159","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 にんじん(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883160","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 ごぼう(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883181","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 たけのこ(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883182","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 れんこん(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883183","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 はくさい(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883184","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 みずな（平成28年～平成30年）","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
"0001883185","00500226","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 こまつな(昭和60年～平成30年)","青果物卸売市場調査","長期累年",NA,"-",,"2022-01-07"
