"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003300761","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，居住地(10区分)・主目的地(16区分)・旅行時期(月)別 旅行経験率・旅行平均回数・旅行単価・平均泊数　居住地","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300762","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，居住地(10区分)・主目的地(16区分)・旅行時期(月)別 旅行経験率・旅行平均回数・旅行単価・平均泊数　主目的地","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300763","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，居住地(10区分)・主目的地(16区分)・旅行時期(月)別 旅行経験率・旅行平均回数・旅行単価・平均泊数　旅行時期","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300764","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)・男女(2区分)・居住地(10区分)・職業(9区分)・旅行時期(月)別 実旅行者数，延べ旅行者数，延べ泊数及び旅行消費額　年齢","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300765","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)・男女(2区分)・居住地(10区分)・職業(9区分)・旅行時期(月)別 実旅行者数，延べ旅行者数，延べ泊数及び旅行消費額　男女","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300766","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)・男女(2区分)・居住地(10区分)・職業(9区分)・旅行時期(月)別 実旅行者数，延べ旅行者数，延べ泊数及び旅行消費額　居住地","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300767","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)・男女(2区分)・居住地(10区分)・職業(9区分)・旅行時期(月)別 実旅行者数，延べ旅行者数，延べ泊数及び旅行消費額　職業","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300768","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)・男女(2区分)・居住地(10区分)・職業(9区分)・旅行時期(月)別 実旅行者数，延べ旅行者数，延べ泊数及び旅行消費額　旅行時期","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300769","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)別 延べ旅行者数，延べ泊数及び旅行消費額　主目的地","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300770","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)別 延べ旅行者数，延べ泊数及び旅行消費額　同行者","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300771","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)別 延べ旅行者数，延べ泊数及び旅行消費額　宿泊施設","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300773","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)別 延べ旅行者数，延べ泊数及び旅行消費額　交通機関","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300774","00601010","旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)別 延べ旅行者数，延べ泊数及び旅行消費額　宿泊数","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300775","00601010","宿泊の有無(2区分)，旅行目的(3区分)，居住地(47区分)，主目的地(47区分)別 旅行内容記入数 ─ 国内旅行 旅行単価(旅行内容記入当たり) ─ 国内旅行","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300776","00601010","男女(2区分)，年齢(9区分)・居住地(10区分)・職業(9区分)別 人口　年齢","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300777","00601010","男女(2区分)，年齢(9区分)・居住地(10区分)・職業(9区分)別 人口　居住地","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300778","00601010","男女(2区分)，年齢(9区分)・居住地(10区分)・職業(9区分)別 人口　職業","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300779","00601010","宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)，男女(2区分)別 実旅行者数 ─ 国内旅行","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300780","00601010","宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)，男女(2区分)・旅行形態(2区分)別 延べ旅行者数及び述べ泊数 ─ 国内旅行　年齢，男女","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300781","00601010","宿泊の有無(2区分)，旅行目的(3区分)，年齢(9区分)，男女(2区分)・旅行形態(2区分)別 延べ旅行者数及び述べ泊数 ─ 国内旅行　旅行形態","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300782","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　年齢","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300783","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　男女","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300784","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　職業","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300785","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　旅行形態","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300786","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　同行者","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300787","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　宿泊施設","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300789","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　交通機関","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
"0003300790","00601010","宿泊の有無(2区分)，旅行目的(3区分)，品目(大分類)，年齢(9区分)・男女(2区分)・職業(9区分)・旅行形態(2区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(11区分)・交通機関(11区分)・宿泊数(8区分)・旅行時期(月)別 延べ購入者数及び旅行消費額 ─ 国内旅行　宿泊数","旅行・観光消費動向調査（確報）","年次","201601-201612","2019-03-28"
