"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003170340","00550110","集計企業数 資本金規模別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170380","00550110","集計企業数 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170400","00550110","集計企業数 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170401","00550110","経常利益等収益 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170402","00550110","設備投資額 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170403","00550110","日本人の人材を確保する上での阻害要因（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170404","00550110","日本企業との業務提携によるメリット（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170405","00550110","今後の日本企業との業務提携意向（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170420","00550110","集計企業数 都道府県別／製造業・非製造業","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170421","00550110","保有する事業所数別企業数 機能別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170422","00550110","従業者数 都道府県別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170423","00550110","売上高、輸出高 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170424","00550110","日本で事業展開する上での魅力（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170425","00550110","日本のビジネス（事業活動）コストにおける阻害要因（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170426","00550110","外国人を雇用する上での阻害要因（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170427","00550110","日本での今後の事業展開（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170440","00550110","新規参入企業数 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170441","00550110","機能別国内事業所数 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170442","00550110","従業者数 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170444","00550110","売上高、輸出高 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170445","00550110","財務諸表比率 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170446","00550110","日本で事業展開する上での阻害要因（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170447","00550110","日本企業との業務提携実績（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170448","00550110","今後１年間の雇用見通し（業種別）","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170460","00550110","解散・撤退・外資比率低下企業数 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170462","00550110","経常利益等収益 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170463","00550110","財務諸表比率 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170464","00550110","設備投資額 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170467","00550110","集計企業数 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170468","00550110","集計企業数 従業者規模別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170469","00550110","機能の移転先の国・地域 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170470","00550110","従業者数 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170471","00550110","操業状況別回収企業数 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170501","00550110","操業状況別回収企業数","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170521","00550110","集計企業数 母国籍別 1997-1998年","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170522","00550110","新規参入企業数 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170523","00550110","新規参入企業数 資本金規模別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170524","00550110","解散・撤退・外資比率低下企業数 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170525","00550110","売上高、経常利益、総資産、従業者数 ５年区切り参入時期別","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170527","00550110","新規参入企業数 資本金規模別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170528","00550110","解散・撤退・外資比率低下企業数 母国籍別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170540","00550110","解散・撤退・外資比率低下企業数 資本金規模別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170541","00550110","資本金 業種別／母国籍別","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170542","00550110","機能の移転：海外への機能移転 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170543","00550110","機能別国内事業所数 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170544","00550110","従業者数 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170548","00550110","売上高、輸出高 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170560","00550110","機能別国内事業所数 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170561","00550110","売上高 業種別／外資比率別","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170562","00550110","機能別国内事業所数 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170563","00550110","従業者数 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170564","00550110","新規参入企業数 母国籍別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170566","00550110","新規参入企業数 外資比率別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170569","00550110","解散・撤退・外資比率低下企業数 参入時期別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170570","00550110","解散・撤退・外資比率低下企業数 資本金規模別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170571","00550110","仕入高、輸入高 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170572","00550110","仕入高、輸入高 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170573","00550110","経常利益等収益 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170574","00550110","資産・資本 母国籍別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170581","00550110","集計企業数 母国籍別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170582","00550110","資産・資本 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170583","00550110","資産・資本 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170584","00550110","外国側筆頭出資者への支払額 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170585","00550110","集計企業数 参入時期別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170586","00550110","売上高研究開発費比率 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170587","00550110","機能別国内事業所数 参入時期別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170588","00550110","保有する事業所数別企業数 機能別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170589","00550110","売上高の推移 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170590","00550110","売上高、輸出高 外資比率別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170591","00550110","経常利益の推移 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170592","00550110","売上高、輸出高 参入時期別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170593","00550110","仕入高、輸入高 母国籍別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170594","00550110","総資産の推移 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170595","00550110","仕入高、輸入高 参入時期別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170596","00550110","研究開発費の推移 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170597","00550110","営業費用 合計 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170598","00550110","営業費用 外資比率別 2006年以前","外資系企業動向調査","年度次",0,"2017-03-31"
"0003170599","00550110","常用雇用者数が最も多い地域別企業数","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170600","00550110","売上高、輸出高 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170601","00550110","仕入高、輸入高 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170602","00550110","仕入高、輸入高 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170603","00550110","経常利益等収益 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170604","00550110","資産・資本 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170605","00550110","財務諸表比率 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170606","00550110","設備投資額 参入時期別","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170607","00550110","売上高研究開発費比率 合計","外資系企業動向調査","年度次",0,"2019-02-14"
"0003170608","00550110","売上高研究開発費比率 外資比率別","外資系企業動向調査","年度次",0,"2019-02-14"
