"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003126423","00600300","1","造船調査 鋼船建造実績 隻数、トン数 2007年1月～2013年12月","造船造機統計調査","造船調査","月次",0,"2020-12-09"
"0003126426","00600300","1","造船調査 鋼船建造実績 隻数、排水トン数 2014年1月～","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003126468","00600300","1","造船調査 鋼船建造実績 隻数、排水トン数 2007年1月～2013年12月","造船造機統計調査","造船調査","月次",0,"2020-12-09"
"0003126484","00600300","1","造船調査 鋼船建造実績 隻数、トン数 2014年1月～","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003126428","00600300","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別船舶修繕実績 2014年1月～","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003126470","00600300","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別建造実績 2007年1月～2013年12月","造船造機統計調査","造船調査","月次",0,"2020-12-11"
"0003126486","00600300","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別建造実績 2014年1月～","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003126503","00600300","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別船舶修繕実績 2007年1月～2013年12月","造船造機統計調査","造船調査","月次",0,"2020-12-11"
"0003126471","00600300","2","造船調査 強化プラスチック（木）船しゅん工実績 2014年1月～","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003126501","00600300","2","造船調査 強化プラスチック（木）船しゅん工実績 2007年1月～2013年12月","造船造機統計調査","造船調査","月次",0,"2020-12-09"
"0003421993","00600300","3","造船調査 用途別・トン数階級別受注鋼船隻数及びトン数","造船造機統計調査","造船調査","月次",0,"2023-12-27"
"0004013360","00600300","3","造船調査 用途別・トン数階級別受注鋼船隻数及びトン数","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003421994","00600300","4","造船調査 用途別・トン数階級別起工鋼船隻数及びトン数","造船造機統計調査","造船調査","月次",0,"2023-12-27"
"0004013394","00600300","4","造船調査 用途別・トン数階級別起工鋼船隻数及びトン数","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003421995","00600300","5","造船調査 用途別・トン数階級別進水鋼船隻数及びトン数","造船造機統計調査","造船調査","月次",0,"2023-12-27"
"0004013395","00600300","5","造船調査 用途別・トン数階級別進水鋼船隻数及びトン数","造船造機統計調査","造船調査","月次",0,"2024-08-01"
"0003421996","00600300","6","造船調査 用途別・トン数階級別しゅん工鋼船隻数、トン数及び船価","造船造機統計調査","造船調査","月次",0,"2023-12-27"
"0004013361","00600300","6","造船調査 用途別・トン数階級別しゅん工鋼船隻数、トン数及び船価","造船造機統計調査","造船調査","月次",0,"2024-08-01"
