"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0001882941","00500002","1","産業連関表からみた農林漁業及び関連産業 取引基本表（９部門分類） (1)生産者価格評価表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882942","00500002","1","産業連関表からみた農林漁業及び関連産業 取引基本表（９部門分類） (2)購入者価格評価表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883004","00500002","10","食用農林水産物の生産から飲食料の最終消費に至る流れ（飲食費のフロー） 購入者価格評価表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883005","00500002","11","統計結果の概要 表１ 農林漁業及び関連産業の国内生産額","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883006","00500002","11","統計結果の概要 表２ 生産者価格評価表（９部門分類）（平成27年）","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883007","00500002","11","統計結果の概要 表３ 購入者価格評価表（９部門分類）（平成27年）","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883008","00500002","11","統計結果の概要 表４ 飲食費のフローの推移","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883009","00500002","11","統計結果の概要 表５ 飲食料の最終消費額の推移","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883010","00500002","11","統計結果の概要 表６ 最終消費からみた飲食費の部門別の帰属額の推移","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001883011","00500002","11","統計結果の概要 表７ 食品製造業に投入される食材の金額の推移","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882943","00500002","2","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (1)生産者価格評価表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882944","00500002","2","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (2)購入者価格評価表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882945","00500002","2","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (3)国産表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882946","00500002","2","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (4)輸入表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882947","00500002","2","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (5)商業マージン表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882948","00500002","2","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (6)国内貨物運賃表","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
"0001882949","00500002","3","産業連関表からみた農林漁業及び関連産業 投入係数表（行110部門×列101部門） (1)投入係数表（生産者価格）Ａ","農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","確報","平成27年（2015年）農林漁業及び関連産業を中心とした産業連関表（飲食費のフローを含む。）","-","202001-202012","2021-10-01"
