"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003286000","00100105","1-1","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　調査方法〔訪問・ＷＥＢ〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003276810","00100105","1-10","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ２〔ネット利用状況〕【全数】","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003276811","00100105","1-11","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ３〔ネット利用項目〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003276812","00100105","1-12","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ４〔ネット利用時間〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003289276","00100105","1-13","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ５〔無線ＬＡＮ利用状況（無線ＬＡＮ利用まとめ）〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003276813","00100105","1-14","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ５〔無線ＬＡＮ利用状況〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003276814","00100105","1-15","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ６〔インターネット利用上での経験〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003286001","00100105","1-16","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ７〔インターネット利用についての家庭のルール〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003276816","00100105","1-17","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ８〔インターネットに関する啓発や学習の経験〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003297820","00100105","1-18","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｆ１・Ｆ２〔性・年齢別〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
"0003286003","00100105","1-19","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｆ３〔学年〕","青少年のインターネット利用環境実態調査","青少年調査","年度次","201604-201703","2019-06-15"
