"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0002002041","00501009","1-1","被害量 令和３年度松くい虫全国被害量（長期累計） 民有林＋国有林（昭和52年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0002015758","00501009","2-1","被害量 令和３年度松くい虫都道府県別被害量（直近5カ年） 民有林＋国有林（平成29年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0004003021","00501009","2-2","被害量 令和３年度松くい虫都道府県別被害量（直近5カ年） 民有林（平成29年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0002002043","00501009","2-3","被害量 令和３年度松くい虫都道府県別被害量（直近5カ年） 国有林（平成29年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0002002044","00501009","3-1","被害量 令和３年度ナラ枯れ全国被害量（長期累計） 民有林＋国有林（平成12年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0002015760","00501009","4-1","被害量 令和３年度ナラ枯れ都道府県別被害量（直近5カ年） 民有林＋国有林（平成29年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0004003020","00501009","4-2","被害量 令和３年度ナラ枯れ都道府県別被害量（直近5カ年） 民有林（平成29年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0002002046","00501009","4-3","被害量 令和３年度ナラ枯れ都道府県別被害量（直近5カ年） 国有林（平成29年度～令和３年度）","森林病害虫被害量","確報","令和３年度森林病害虫被害量","年度次","202104-202203","2023-03-14"
"0002077444","00501009","1-1","被害量 令和４年度松くい虫全国被害量（長期累計） 民有林＋国有林（昭和52年度～令和４年度）","森林病害虫被害量","確報","令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29"
"0002077445","00501009","2-1","被害量 令和４年度松くい虫都道府県別被害量（直近5カ年） 民有林＋国有林（平成30年度～令和４年度）","森林病害虫被害量","確報","令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29"
"0002077446","00501009","2-2","被害量 令和４年度松くい虫都道府県別被害量（直近5カ年） 民有林（平成30年度～令和４年度）","森林病害虫被害量","確報","令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29"
"0002077447","00501009","2-3","被害量 令和４年度松くい虫都道府県別被害量（直近5カ年） 国有林（平成30年度～令和４年度）","森林病害虫被害量","確報","令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29"
"0002077448","00501009","3-1","被害量 令和４年度ナラ枯れ全国被害量（長期累計） 民有林＋国有林（平成12年度～令和４年度）","森林病害虫被害量","確報","令和４年度森林病害虫被害量","年度次","202204-202303","2024-03-29"
