"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003272996","00550300","品目別／四半期、年、年度／原指数 在庫（平均）（平成22年＝100.0）","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","-",,"2021-09-08"
"0003272997","00550300","品目別／四半期、年、年度／原指数 在庫率（平成22年＝100.0）","鉱工業生産・出荷・在庫指数","2010年基準時系列データ（2008年１月～）","-",,"2021-09-08"
"0004017874","00550300","業種別季節調整済指数【月次】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004017875","00550300","業種別季節調整済指数【月次】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004017876","00550300","業種別季節調整済指数【月次】 在庫（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004017877","00550300","業種別季節調整済指数【月次】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004017878","00550300","業種別原指数【月次】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004017879","00550300","業種別原指数【月次】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018300","00550300","業種別原指数【月次】 在庫（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018301","00550300","業種別原指数【月次】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018302","00550300","財別季節調整済指数【月次】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018303","00550300","財別季節調整済指数【月次】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
